artifact_id,subspace_target,subspace_theory,target_variable,scoring_theory,pair_split,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75,row_set_sha256
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,action_history,dual_history,mech_pair_test,-7.589523897985368,0.6552392215896607,1.4226998603207264,0.5879213425564842,0.6763558456663569,0.8333333333333334,24,0.1,12,0.5,-4.521821041112725,-58.13147983067434,5.130629843197454e-08,f75f2d363917a0b6c9c19af9c4cc4b43d23cc7d32a88856a0975e4c07989fc78
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,action_history,dual_history,mech_task_holdout,-9.838611869510503,-0.8815320251268431,-1.8125975471336477,0.5200411116636464,0.6493770183544453,0.4444444444444444,18,0.1,12,0.6666666666666666,-12.099697001177077,-36.577773049807156,0.16628530684204706,ca2fa703aadb36dfd01ddb87ac60fdbc20224d742b0c0671a8a81a792a2e6354
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,action_history,latent_context,mech_pair_test,,,0.0,0.5000000000000001,0.6950344715671782,0.08333333333333333,24,0.1,0,0.0,,,,f75f2d363917a0b6c9c19af9c4cc4b43d23cc7d32a88856a0975e4c07989fc78
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,action_history,latent_context,mech_task_holdout,,,0.0,0.4027777777777777,0.5559026693385972,0.16666666666666666,18,0.1,0,0.0,,,,ca2fa703aadb36dfd01ddb87ac60fdbc20224d742b0c0671a8a81a792a2e6354
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,action_history,outcome_history,mech_pair_test,,,0.0,0.5000000000000001,0.6950344715671782,0.08333333333333333,24,0.1,0,0.0,,,,f75f2d363917a0b6c9c19af9c4cc4b43d23cc7d32a88856a0975e4c07989fc78
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,action_history,outcome_history,mech_task_holdout,,,0.0,0.4027777777777777,0.5559026693385972,0.16666666666666666,18,0.1,0,0.0,,,,ca2fa703aadb36dfd01ddb87ac60fdbc20224d742b0c0671a8a81a792a2e6354
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,contextual_outcome_history,dual_history,mech_pair_test,,,0.0,0.39583333333333326,0.41562369465125004,0.0,18,0.1,0,0.0,,,,52084ab2af7ee287ac4f291178d4ed78ace1e52256fe1681398d918762e80e52
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,contextual_outcome_history,dual_history,mech_task_holdout,0.8501491177965883,0.7916686714371571,0.7379409174261523,0.059191838078265585,0.2710397590927907,0.9444444444444444,18,0.1,12,0.6666666666666666,0.9104120567064291,0.8999476017071144,0.9808113446650835,5d1e8a6aa7071284bd3588050ec5c960c35766543da57144d025192b9339b3c6
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,contextual_outcome_history,latent_context,mech_pair_test,0.5679641918001135,0.08290476862598428,0.04482007849595012,0.34811057130559236,0.7166214011827676,1.0,18,0.1,18,1.0,0.620231291596196,0.4654046388962053,0.7618119262075587,52084ab2af7ee287ac4f291178d4ed78ace1e52256fe1681398d918762e80e52
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,contextual_outcome_history,latent_context,mech_task_holdout,0.7718925799293529,0.7963728761965282,1.1502207155786173,-0.45865871814584996,0.4092025136164605,0.9444444444444444,18,0.1,18,1.0,0.8016970945477511,0.5178273947897312,0.8953456988875897,5d1e8a6aa7071284bd3588050ec5c960c35766543da57144d025192b9339b3c6
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,contextual_outcome_history,outcome_history,mech_pair_test,,,0.0,0.39583333333333326,0.41562369465125004,0.0,18,0.1,0,0.0,,,,52084ab2af7ee287ac4f291178d4ed78ace1e52256fe1681398d918762e80e52
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,contextual_outcome_history,outcome_history,mech_task_holdout,0.850974693634839,0.7940952059267501,0.7381511362408697,0.05025302529588986,0.27430588125524874,0.9444444444444444,18,0.1,12,0.6666666666666666,0.9064676631683997,0.8949722561662566,0.9839974878509472,5d1e8a6aa7071284bd3588050ec5c960c35766543da57144d025192b9339b3c6
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,outcome_history,dual_history,mech_pair_test,0.9682648384627148,0.8564300106887597,1.1770732454213224,-0.14587920665036713,0.21001714531231006,1.0,24,0.1,24,1.0,0.9807555998595925,0.9677701915233404,0.9979409671772692,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,outcome_history,dual_history,mech_task_holdout,0.8728057199204062,0.8414109201074753,0.8446616750892032,-0.0084892193496279,0.24971069384161768,0.7777777777777778,18,0.1,12,0.6666666666666666,0.9646666893836935,0.9104120567064289,0.9973958045152416,6b93e1e1c0f52e231530074aa9e596037258b9f343d6a82f8f1c60f2255b79e2
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,outcome_history,latent_context,mech_pair_test,0.9825309278236238,0.9038717008326121,1.0876670688946661,-0.10960053760188042,0.1648849445770979,1.0,24,0.1,24,1.0,0.9947747101305746,0.9680386900162978,0.9990454209009538,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,outcome_history,latent_context,mech_task_holdout,0.7825897302106685,0.7145590260964024,0.6650154476801816,0.08328500369620456,0.34123814903535815,0.7222222222222222,18,0.1,13,0.7222222222222222,0.9559186759518725,0.8699514201806746,0.9847966484306132,6b93e1e1c0f52e231530074aa9e596037258b9f343d6a82f8f1c60f2255b79e2
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,outcome_history,outcome_history,mech_pair_test,0.9675530988747773,0.8572010746167292,1.1956092679842996,-0.16297776081855672,0.2115822367675721,1.0,24,0.1,24,1.0,0.9811898992153507,0.9659438522524708,0.9984352429204227,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a
