model,sharing,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,macro_decision_log_loss,macro_decision_brier,parameters,split,explainable_variance_fraction
generic_sequential_choice,hierarchical,0.3184833254148073,0.804601708571508,0.5934049403282234,0.09541437186008597,0.8044267738477314,0.442022150601327,0.6343930038242002,0.22227994409308702,103.0,structural_test,0.26049097783157454
meta_control,hierarchical,0.3391270242049629,0.7802296631950623,0.6579601667110399,0.07879262326574396,0.7863552064071018,0.5437145484614095,0.639026713522593,0.22335193802885792,135.0,structural_test,0.2860912875571842
latent_motivation,hierarchical,0.2816945684546128,0.8480346835965296,0.5605066686436282,0.07643643881963394,0.844172391024039,0.34055614592653927,0.6447661478845539,0.2267822497420073,87.0,structural_test,0.2041870565866816
intercept,hierarchical,0.16611469265333878,0.9844888145285275,0.46464799251396466,-0.0927816347902295,0.9883104972875953,0.1104008744889409,0.6550087623744548,0.23173679014965934,23.0,structural_test,0.0
linear_interactions,fully_shared,0.762735445063066,0.34335889119075713,0.8763652394231242,0.762735445063066,0.34335889119075713,0.8763652394231242,0.5996590164224705,0.2052426788726204,,interpolation_test,1.0
linear_interactions,fully_shared,0.7567957306818538,0.2871280746643044,0.8717087266573509,0.7567957306818538,0.2871280746643044,0.8717087266573509,0.6019841392729303,0.20643463079698335,,structural_test,0.993299958749131
gam,fully_shared,0.6978372002812222,0.4372767938224556,0.835768927712795,0.6978372002812222,0.4372767938224556,0.835768927712795,0.6065495988032811,0.2081459097467555,,interpolation_test,0.8841082740092374
gam,fully_shared,0.6575809222020825,0.4042615321354758,0.81671958824554,0.6575809222020825,0.4042615321354758,0.81671958824554,0.6047442864011173,0.20774081402731054,,structural_test,0.8273678778521661
mlp,fully_shared,0.7468965356046099,0.366280268514782,0.8668565303847421,0.7468965356046099,0.366280268514782,0.8668565303847421,0.5996233560419,0.2055310192127537,,interpolation_test,0.9717157442220158
mlp,fully_shared,0.736111963653625,0.31154742478620306,0.8596010623653138,0.736111963653625,0.31154742478620306,0.8596010623653138,0.6041560363396589,0.20704473175067134,,structural_test,0.9587073353658805
gru,fully_shared,0.74930668137252,0.36279241092603404,0.8695547449521469,0.74930668137252,0.36279241092603404,0.8695547449521469,0.6001061941394769,0.20550260683407845,,interpolation_test,0.9760196503426104
gru,fully_shared,0.7608018475576153,0.2823984347256533,0.8738788932308452,0.7608018475576153,0.2823984347256533,0.8738788932308452,0.6021997013066204,0.20674646658741297,,structural_test,1.0
