layer,direction,steering_mode,task_family,linear_slope,linear_intercept,dose_r2,monotonic_rho,mean_absolute_effect,task_sign_consistency
8,action_raw,computational_units,waiting,-0.002976190476190477,0.0066964285714285685,0.04938271604938249,-0.11227217828476797,0.015625,
8,action_raw,neural_norm,bandit,0.0007440476190476189,0.008928571428571426,0.0064102564102563875,0.0,0.008928571428571428,
8,action_raw,neural_norm,debugging,0.0022321428571428575,0.02678571428571428,0.018749999999999822,0.18531232916527532,0.026785714285714284,
8,action_raw,neural_norm,effort,-0.0007440476190476192,-0.004464285714285712,0.004385964912280826,0.01970276015597752,0.008928571428571428,
8,action_raw,neural_norm,foraging,-0.0014880952380952393,0.011160714285714284,0.010101010101010055,-0.28068044571191997,0.015625,
8,action_raw,neural_norm,information_sampling,1.0706945744044232e-18,-0.017857142857142856,-2.220446049250313e-16,0.07559289460184546,0.017857142857142856,
8,action_raw,neural_norm,solvability,0.005952380952380954,-0.00669642857142857,0.19753086419753085,0.4382504900892777,0.011160714285714286,
8,action_raw,neural_norm,waiting,0.0014880952380952378,0.008928571428571428,0.02564102564102566,0.17817416127494962,0.013392857142857142,
8,action_residualized,computational_units,bandit,0.003720238095238094,0.015625,0.03720238095238093,0.1454785934906616,0.020089285714285716,
8,action_residualized,computational_units,debugging,-0.011904761904761902,0.017857142857142853,0.5614035087719299,-0.6573757351339166,0.017857142857142856,
8,action_residualized,computational_units,effort,0.0066964285714285745,-0.004464285714285714,0.5625,0.8486684247915056,0.008928571428571428,
8,action_residualized,computational_units,foraging,0.004464285714285715,0.017857142857142856,0.17647058823529405,0.41576092031015005,0.017857142857142856,
8,action_residualized,computational_units,information_sampling,0.007440476190476191,-0.017857142857142856,0.26881720430107525,0.46780074285319984,0.017857142857142856,
8,action_residualized,computational_units,solvability,0.001488095238095238,-0.011160714285714288,0.01754385964912275,0.19920476822239894,0.011160714285714286,
8,action_residualized,computational_units,waiting,1.0706945744044232e-18,-0.004464285714285714,-2.220446049250313e-16,0.0,0.004464285714285714,
8,action_residualized,neural_norm,bandit,-1.0706945744044232e-18,0.011160714285714284,-2.220446049250313e-16,0.03857583749052298,0.011160714285714286,
8,action_residualized,neural_norm,debugging,-0.0007440476190476229,0.03348214285714286,0.003472222222222099,-0.11572751247156894,0.033482142857142856,
8,action_residualized,neural_norm,effort,-0.0022321428571428575,-0.011160714285714284,0.06249999999999989,-0.1928791874526149,0.011160714285714286,
8,action_residualized,neural_norm,foraging,0.006696428571428572,0.015624999999999997,0.19285714285714284,0.4183300132670378,0.015625,
8,action_residualized,neural_norm,information_sampling,-0.0007440476190476176,-0.015624999999999997,0.005952380952381153,0.0,0.015625,
8,action_residualized,neural_norm,solvability,0.004464285714285715,-0.01339285714285714,0.17647058823529427,0.5102520385624569,0.013392857142857142,
8,action_residualized,neural_norm,waiting,0.005208333333333334,0.02008928571428571,0.3402777777777778,0.6943650748294137,0.020089285714285716,
8,gradient,neural_norm,bandit,0.023065476190476195,0.01339285714285714,0.8519503546099291,0.9636241116594316,0.026785714285714284,
8,gradient,neural_norm,debugging,0.04761904761904763,0.03794642857142856,0.888888888888889,0.900937462695559,0.05133928571428571,
8,gradient,neural_norm,effort,0.038690476190476185,-0.00669642857142857,0.9507735583684951,0.981980506061966,0.03794642857142857,
8,gradient,neural_norm,foraging,0.030505952380952387,0.017857142857142853,0.7296006944444444,0.9543135154205278,0.03125,
8,gradient,neural_norm,information_sampling,0.02083333333333334,-0.013392857142857146,0.8949771689497716,0.9728456051340171,0.022321428571428572,
8,gradient,neural_norm,solvability,0.03571428571428572,-0.015625,0.9142857142857143,0.981980506061966,0.03794642857142857,
