target,layer,split,r2,pearson_r,mse,contrast_sign_accuracy,task_macro_r2,evidence_level,result_type,mechanistic_claim_permitted
action_history,31,validation,0.2630247504437026,0.520240635650071,0.7168754574451969,1.0,0.2187345400024919,2,information_access,False
action_history,31,test,0.2729207010092255,0.5458009296895973,0.8503825962276057,1.0,0.2806526251920334,2,information_access,False
action_history,31,transfer,0.2039884521749727,0.5703278816881587,1.3829816186184487,1.0,0.2039884521749728,2,information_access,False
contextual_outcome_history,0,validation,0.0706415579134668,0.2658554602552426,2.3769165348510914,1.0,-0.0055404641563111,2,information_access,False
contextual_outcome_history,0,test,0.0028670824718387,0.1645292760836976,2.5828625162812124,1.0,-0.0309903959153018,2,information_access,False
contextual_outcome_history,0,transfer,-0.3971220747835562,-0.0628750964496888,2.427344369150341,,-0.3971220747835561,2,information_access,False
contextual_outcome_history,1,validation,0.0015954219546403,0.0680842929970832,2.55350814342318,1.0,-0.0999230441965757,2,information_access,False
contextual_outcome_history,1,test,-0.0164938749856164,0.0574219293060996,2.6330129931305177,1.0,-0.0533361061787821,2,information_access,False
contextual_outcome_history,1,transfer,-0.2655124870628409,-0.0769627685016673,2.198687333773123,,-0.2655124870628404,2,information_access,False
contextual_outcome_history,2,validation,0.0095437955694107,0.1133734900922151,2.5331794738651725,1.0,-0.1239570560538623,2,information_access,False
contextual_outcome_history,2,test,-0.0139392038275938,0.1003402273532824,2.626395656304612,1.0,-0.0614081688750464,2,information_access,False
contextual_outcome_history,2,transfer,-0.2976618281721639,-0.0456268300438996,2.25454324180156,,-0.2976618281721638,2,information_access,False
contextual_outcome_history,3,validation,0.0495430899148726,0.2435739178885015,2.430877735583602,1.0,-0.1711896853621251,2,information_access,False
contextual_outcome_history,3,test,0.0138883348713256,0.196044190165734,2.5543142864467425,1.0,-0.0532618761992415,2,information_access,False
contextual_outcome_history,3,transfer,-0.6660522104242197,-0.0677808157238711,2.894580598699812,,-0.6660522104242195,2,information_access,False
contextual_outcome_history,4,validation,0.0016643078142701,0.0594327435192661,2.553331961735516,1.0,-0.1142263461961717,2,information_access,False
contextual_outcome_history,4,test,-0.0156902388375954,0.0345644574783174,2.6309313431849946,1.0,-0.0516112249970491,2,information_access,False
contextual_outcome_history,4,transfer,-0.2732544041095288,-0.2254170211778447,2.212138054428738,,-0.2732544041095285,2,information_access,False
contextual_outcome_history,5,validation,0.0008533129858938,0.0429663470493423,2.555406152844081,1.0,-0.0723581396785734,2,information_access,False
contextual_outcome_history,5,test,-0.0131997428168468,0.0189721462523966,2.624480238516937,1.0,-0.0383883895318322,2,information_access,False
contextual_outcome_history,5,transfer,-0.1914766769365847,-0.0868939416613672,2.070058339879878,,-0.1914766769365844,2,information_access,False
contextual_outcome_history,6,validation,0.004459445004895,0.0739113446130722,2.5461831507873343,1.0,-0.073473499595049,2,information_access,False
