job_index,prompt_id,direction_id,control_role,alpha,p_eos,eos_logit,baseline_p_eos,baseline_eos_logit,delta_eos_logit
63,open_ended_04,random_079,random_subspace,-2.0,8.150886401381285e-07,-14.019968153624935,8.114208753795538e-07,-14.024478147477753,0.004509993852817473
63,open_ended_04,random_079,random_subspace,-1.0,8.137984650602448e-07,-14.021552273720605,8.114208753795538e-07,-14.024478147477753,0.002925873757147812
63,open_ended_04,random_079,random_subspace,0.0,8.114208753795538e-07,-14.024478147477753,8.114208753795538e-07,-14.024478147477753,0.0
63,open_ended_04,random_079,random_subspace,1.0,8.091675454124925e-07,-14.027259030293097,8.114208753795538e-07,-14.024478147477753,-0.0027808828153439435
63,open_ended_04,random_079,random_subspace,2.0,8.079677513705974e-07,-14.028742882923781,8.114208753795538e-07,-14.024478147477753,-0.004264735446028567
63,open_ended_05,random_079,random_subspace,-2.0,2.595408776784325e-09,-19.769521805366495,2.6912574391246835e-09,-19.73325730037315,-0.036264504993344104
63,open_ended_05,random_079,random_subspace,-1.0,2.7297257787495255e-09,-19.719064677409484,2.6912574391246835e-09,-19.73325730037315,0.014192622963665968
63,open_ended_05,random_079,random_subspace,0.0,2.6912574391246835e-09,-19.73325730037315,2.6912574391246835e-09,-19.73325730037315,0.0
63,open_ended_05,random_079,random_subspace,1.0,2.731048720505669e-09,-19.718580152078577,2.6912574391246835e-09,-19.73325730037315,0.014677148294573783
63,open_ended_05,random_079,random_subspace,2.0,2.8414937069953794e-09,-19.678935967029307,2.6912574391246835e-09,-19.73325730037315,0.05432133334384304
63,open_ended_06,random_079,random_subspace,-2.0,4.5053899500047123e-10,-21.52057648279615,4.5706607942896937e-10,-21.506193141093497,-0.014383341702654207
