architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate,bootstrap_estimate,ci_low,ci_high,probability_positive,intervention_derivative
latent_context,M4,bandit,factor_controllability__available,0.3679592699340157,0.02246205733367198,-0.02482930786001981,0.36559201940766783,0.36912259619938026,0.35888674091312406,0.37734041047321976,1.0,0.36559201940766783
latent_context,M4,bandit,factor_environmental_stability,0.09741657564004534,0.028862848089435986,0.006778842658744696,0.13305826638822604,0.13357099128574007,0.11436036237054661,0.15498995164108773,1.0,0.13305826638822604
latent_context,M4,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,bandit,factor_goal_continuity,0.04750828170580312,0.03838455180733702,0.006366058664070188,0.09225889217721032,0.09368741518038157,0.06546240936259802,0.11615207493549205,1.0,0.09225889217721032
latent_context,M4,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,bandit,context_relevant_outcome_kernel,0.2752524289260659,0.10090676301250487,0.03404963501392665,0.4102088269524974,0.4143939189321759,0.3910789512244327,0.4382733544917984,1.0,0.4102088269524974
latent_context,M4,bandit,context_relevant_outcome_kernel__available,-0.03928713244468286,-0.004457517756624937,0.0016023464486563984,-0.0421423037526514,-0.04221985811793541,-0.04783892464576063,-0.03473956212025851,0.0,-0.0421423037526514
latent_context,M4,bandit,context_relevant_outcome_kernel*factor_goal_continuity,-0.009589205660347516,0.004884274658340713,0.004981604371696301,0.0002766733696894976,0.0011201999865115087,-0.019824375510312964,0.02232030552127877,0.58,0.0002766733696894976
latent_context,M4,bandit,context_relevant_outcome_kernel*factor_goal_continuity__available,-0.03928713244468152,-0.004457517756624896,0.001602346448656399,-0.04214230375265002,-0.04221985811793719,-0.04783892464577792,-0.034739562120257535,0.0,-0.04214230375265002
latent_context,M4,bandit,context_relevant_outcome_kernel*factor_environmental_stability,-0.010724661908705,0.023232542913889376,0.004659199888678436,0.01716708089386281,0.016146667390771856,-0.005982594592910929,0.0384517214683673,0.87,0.01716708089386281
latent_context,M4,bandit,context_relevant_outcome_kernel*factor_environmental_stability__available,-0.03928713244468076,-0.004457517756624806,0.0016023464486563993,-0.042142303752649164,-0.04221985811794196,-0.04783892464580685,-0.034739562120247924,0.0,-0.042142303752649164
latent_context,M4,bandit,response_mapping,-0.007012257612976578,-0.04976575838994124,0.012300683678931335,-0.044477332323986485,-0.0432189499837365,-0.050894699902679176,-0.037170547857154006,0.0,-0.044477332323986485
latent_context,M4,bandit,response_mapping__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,debugging,intercept,-0.2982846885188987,-0.16288288090159722,-0.10582552700228659,-0.5669930964227825,-0.5710619471273908,-0.5861951363168341,-0.5564173218647069,0.0,-0.5669930964227825
latent_context,M4,debugging,factor_continuation_value,0.24265650227059227,-0.01149446989654964,-0.03114968733118742,0.2000123450428552,0.19831299748071246,0.17900565332724494,0.22046533098320914,1.0,0.2000123450428552
latent_context,M4,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,debugging,factor_disengagement_value,-0.40367866915530387,0.0008344712195822446,0.0794967260749141,-0.32334747186080753,-0.31795566621773114,-0.3400398906524957,-0.2963301338014159,0.0,-0.32334747186080753
latent_context,M4,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
