layer,random_index,split,r2,pearson_r,mse
8,40,transfer,-0.06270566927761201,0.1489815593061601,1.7797980420581778
8,41,transfer,-0.0648712940841436,-0.04970697149364691,1.783424986848185
8,42,transfer,-0.05883262730391703,0.2316622733119922,1.7733115493999827
8,43,transfer,-0.03263198431486414,0.20293774015106855,1.7294312404483234
8,44,transfer,-0.05691255208970625,0.04346403985580041,1.7700958461195255
8,45,transfer,-0.06425920946042174,0.1601639679438002,1.7823998798534944
8,46,transfer,-0.05907346490210097,0.16337578275696474,1.7737148993566958
8,47,transfer,-0.06504877257288677,-0.032313580003766586,1.7837222242450528
8,48,transfer,-0.03799082296440437,0.24903746758640155,1.7384061154413595
8,49,transfer,-0.1110070325003516,-0.07269754546704102,1.8606921919416635
8,50,transfer,-0.053757698416914135,0.13922040885209847,1.7648121607566418
8,51,transfer,-0.0648555889038589,0.14371695417726857,1.783398684128694
8,52,transfer,-0.06050126639451259,0.16424248109662168,1.7761061525268889
8,53,transfer,-0.06531759723339414,-0.15169878085384336,1.7841724463698232
8,54,transfer,-0.0589061907678039,0.12191342122220186,1.773434752007043
8,55,transfer,-0.06431442171636137,-0.12175889874748617,1.78249234822725
8,56,transfer,-0.06841435038531807,-0.1398062869561761,1.7893588261510456
8,57,transfer,-0.060930336868478374,0.26967455541939184,1.7768247511111874
8,58,transfer,-0.07510191039978853,0.016265962728668565,1.8005590169131707
8,59,transfer,-0.05134249842968441,0.19621038646867325,1.7607672324827837
8,60,transfer,-0.05622526249105109,0.15916430945992563,1.768944787348149
8,61,transfer,-0.06010998734616191,0.14995545658509138,1.7754508462607366
8,62,transfer,-0.0643767620060327,-0.12038943378943515,1.7825967544882741
8,63,transfer,-0.06073490072244292,0.05796559137907119,1.7764974385917223
8,64,transfer,-0.06392139479559233,0.019879713630754657,1.78183411465959
8,65,transfer,-0.06511949038444853,-0.08965215635933285,1.783840661010937
8,66,transfer,-0.06445893418681026,-0.019737028189272515,1.7827343748009228
8,67,transfer,-0.06815582199989079,-0.06989851214353472,1.7889258480203158
8,68,transfer,-0.05971471840362419,0.22564411540638124,1.7747888578001938
8,69,transfer,-0.06390657380941489,0.1759068701416997,1.7818092927705738
8,70,transfer,-0.06916778409305024,0.05477453057946355,1.7906206617435423
8,71,transfer,-0.06431927620227351,0.00992936653627006,1.7825004784224407
8,72,transfer,-0.064330652612544,-0.13087793925994903,1.7825195314051343
8,73,transfer,-0.059526805724609,0.1926135482126946,1.7744741454317012
