model,sharing,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,macro_decision_log_loss,macro_decision_brier,parameters,split,explainable_variance_fraction
generic_sequential_choice,fully_shared,-0.13591669513453009,0.8263097608621904,-0.01680040743822043,-0.14632588268336846,0.7933502472794852,0.1277126328691382,0.6863996994149683,0.24663909269380604,12.0,interpolation_test,-97.09380680251336
option_termination,fully_shared,-0.14465997836753774,0.8326699634266589,0.05719924783595868,-0.1466815008371905,0.8089224677440766,-0.042375704988944836,0.6840931472083226,0.24529326925296074,10.0,interpolation_test,-118.62136918384786
dual_history,fully_shared,-0.16782470511059344,0.8495208820701473,0.04106281474580579,-0.14937017818234527,0.7953452580775837,0.19887602939969123,0.664907139347978,0.23615090769953312,30.0,interpolation_test,-99.85177696516017
choice_perseveration,fully_shared,-0.17884836927457215,0.8575399219682126,0.0376028009306687,-0.15790451568995303,0.8016466351398972,0.19740352342363857,0.6669421251927521,0.2371482074385724,26.0,interpolation_test,-108.56301298353769
latent_context,fully_shared,-0.13838818622616111,0.8281076191220841,0.07862482905226402,-0.1713539442597439,0.8146641933506455,0.08645348456197033,0.6877006448869789,0.24693057507820845,28.0,interpolation_test,-126.55892416857057
task_set_reinstatement,fully_shared,-0.3379502818433264,0.973276809972869,-0.010368150173106803,-0.29603877221065433,0.8772018197938466,0.18750089027779776,0.6654553395410951,0.23634096147925346,28.0,interpolation_test,-213.01304659111298
intercept,fully_shared,-0.02995612629021238,0.7199112052850812,-1.702493737398487e-17,-0.10641104549937462,0.734699746748454,-7.822292066146318e-17,0.6914834739025215,0.24916815508564644,2.0,structural_test,0.0
dynamic_reevaluation,fully_shared,-0.06949227361632859,0.7475458925764631,0.04948808412101204,-0.1316053523007481,0.7510917661815659,0.30904040588504583,0.6940217326600414,0.2504930298377509,10.0,structural_test,-0.6739313213702729
immediate_state,fully_shared,-0.052894858317201976,0.7359447525398974,0.11992098868730285,-0.13520506073598246,0.7067863605135541,0.046280058645974634,0.6771679361902406,0.24204962896324508,22.0,structural_test,1.147613651018804
outcome_history,fully_shared,-0.07936707964544976,0.7544481123205086,0.11375853604924153,-0.1768572904970382,0.7256523023182769,-0.0044011423727953825,0.6832483383127828,0.24508734340385616,26.0,structural_test,0.3719710194789436
meta_control,fully_shared,-0.09497406521407803,0.7653569690230242,-0.040376535164890516,-0.18591085899152907,0.7762512308811903,-0.0547319584699415,0.6967112444364806,0.25172472353578884,16.0,structural_test,-1.7083219502476328
latent_context,fully_shared,-0.12484240586149431,0.7862341234633757,0.09519676549684106,-0.24170850169960048,0.7545839902623153,0.025824004431365424,0.6882651663979026,0.2476510906980198,28.0,structural_test,-0.8175084565038714
generic_sequential_choice,fully_shared,-0.0858916741243041,0.7590086256815843,0.04307976570425147,-0.2584074418278626,0.7762358797057693,-0.005614019206162351,0.6792580450904093,0.2431002001008904,12.0,structural_test,-1.707690811541493
dual_history,fully_shared,-0.04568127350608564,0.730902653752154,0.1391049044696343,-0.2662120067175826,0.7346389776098661,0.03016109370441695,0.6731476690715855,0.24003131424079086,30.0,structural_test,0.002498424677580304
choice_perseveration,fully_shared,-0.04978200611379635,0.7337689538583558,0.13073486670548848,-0.28030307229792617,0.7403207420265873,0.0419208455515127,0.6712056446673057,0.23908936728337898,26.0,structural_test,-0.23109811397345795
latent_motivation,fully_shared,-0.19397462545956534,0.8345556570360171,-0.1982887986416975,-0.3187803774921547,0.8750722466853611,-0.14298229845570729,0.7005509400074074,0.25372009073048,10.0,structural_test,-5.771187909613686
option_termination,fully_shared,-0.22299834374970606,0.8548424435143591,-0.17604651980291858,-0.34455797906735,0.8945031834296293,-0.2721817028298324,0.6999317051761894,0.2537903221841385,10.0,structural_test,-6.570059392713239
task_set_reinstatement,fully_shared,-0.08188702720804719,0.7562094868497121,0.14974774591081325,-0.3648160610888941,0.7763155739446577,0.11312350577368403,0.6706631987919993,0.2387867697023681,28.0,structural_test,-1.7109673110563186
intercept,hierarchical,0.028769799482650793,0.7065104317676933,0.1908116031334016,-0.01949328730694095,0.7254870503072907,1.8359169575778686e-17,0.6967708175576914,0.2518077748289156,23.0,interpolation_test,-3.277436199642925
generic_sequential_choice,hierarchical,-0.04039081301146097,0.7568205376195348,0.23556703599939618,-0.16529838804793887,0.7998972156061789,0.15087738517010116,0.6909681476781825,0.24867068161370962,103.0,interpolation_test,-106.14455646162544
dynamic_reevaluation,hierarchical,-0.2950912464549682,0.9420994891057397,-0.07971070803824705,-0.3106454968639607,0.9461973128616957,-0.320516773109799,0.7168766515188849,0.26137341938857905,87.0,interpolation_test,-308.39474147697644
meta_control,hierarchical,-0.3481221524500364,0.9806762222753322,0.04851649449688817,-0.3654965104362852,0.9946571849529378,-0.09402414621441103,0.7500934473150441,0.2771094456976362,135.0,interpolation_test,-375.38730183841085
latent_motivation,hierarchical,-0.26609039079592556,0.9210031444467818,0.15370210681101304,-0.39956697278651465,0.9534552937844316,0.17019816221133066,0.6960890088246818,0.24950040684939176,87.0,interpolation_test,-318.4284189112261
option_termination,hierarchical,-0.2614227675348355,0.917607734662608,0.06338073788083494,-0.419127569054906,0.9876056310411604,-0.1950325210880208,0.6707962164850034,0.2393915515492069,87.0,interpolation_test,-365.63899606106173
immediate_state,hierarchical,-0.41269364869799063,1.0276480273836652,0.04167272100072693,-0.49461907854349235,1.01150425678082,-0.1191658049920775,0.6730133426197098,0.24050653721341167,183.0,interpolation_test,-398.6772617090806
choice_perseveration,hierarchical,-0.5870132552144252,1.154454854848356,0.1059122064708959,-0.7877624376470225,1.1464575595637416,-0.013267007042672486,0.6521348665065736,0.22782276487525038,215.0,interpolation_test,-585.2412556386838
latent_context,hierarchical,-0.5171610363030243,1.103641647725331,0.16992772623090996,-0.8256446529594033,1.2133322654468675,0.044776446872333626,0.6909778372807668,0.24800931785867,231.0,interpolation_test,-677.6911028461459
task_set_reinstatement,hierarchical,-0.5201321024533931,1.1058029162151177,0.1702910531208206,-0.8948855346136269,1.184009467161538,0.03283892561074034,0.6880756149011511,0.24439378435431322,231.0,interpolation_test,-637.154278266885
outcome_history,hierarchical,-0.5576278372756713,1.1330787647056442,0.16376490856223402,-0.936818654542139,1.2410349089174062,0.07148717237579129,0.6909772411122788,0.24789502886263673,215.0,interpolation_test,-715.9881708073874
