paired_condition_id,semantic_hash,task_family,coverage_marginal,coverage_pairwise,coverage_task_factor,coverage_score,information_variance,information_score,prediction_dual_history,prediction_latent_context,disagreement_raw,disagreement_score,active_score,sampling_strategy
active_round2_candidates-7b0f914964ec63a4,7b0f914964ec63a4582957490499877febfc1fbb0d24907e53b763ed2d810f31,bandit,0.011863436126381513,0.018907603477172522,0.028920645774134196,0.2785714285714286,0.004257220915011314,0.6155,-1.147107358603527,-1.0826819631506353,0.06442539545289172,0.5081428571428571,0.4592571428571429,coverage
active_round2_candidates-bad8570d7eb0acd5,bad8570d7eb0acd5890bf810128346c1be137372ca04de6ebfb1e3a60fcd5f6b,bandit,0.011875441963477557,0.018860731995436305,0.028951624965503697,0.2785,0.0024035253867844605,0.30414285714285716,0.5045878369740262,0.26139982572695386,0.24318801124707234,0.9516428571428571,0.4233857142857143,coverage
active_round2_candidates-9568d7ef790bc8cb,9568d7ef790bc8cbeba899512522cf45f3638fa06fb9e0fb057156594dfc7f55,bandit,0.011878594854018983,0.01885163905693307,0.02895376068664729,0.2784285714285714,0.00363505405872965,0.5249285714285714,1.2792778165791054,1.2584069758707006,0.020870840708404836,0.3032142857142857,0.3819857142857143,coverage
active_round2_candidates-5ede1fdc26c95a50,5ede1fdc26c95a5025cca0c5cca85a65c2b7e89f48de1ecffbdc2d92f56e6fd7,bandit,0.01184866260572747,0.018794107935869362,0.029040687989234194,0.27832142857142855,0.003774379152676055,0.5449285714285714,-0.8796854879167677,-0.6109089354610541,0.26877655245571364,0.9694285714285714,0.5231857142857144,coverage
active_round2_candidates-f277a617be782df7,f277a617be782df749c86ff4b2406d2258ffc466e6176f47d2147db65ca88e52,bandit,0.01184866260572747,0.018794107935869362,0.029040687989234194,0.27832142857142855,0.002569774307004178,0.3339285714285714,0.5036140718241602,0.3425972520647931,0.1610168197593671,0.8212857142857143,0.4091571428571429,coverage
active_round2_candidates-9de195a3827dba12,9de195a3827dba1287efa4c69c481f5d77f8cb83da4cde7a1a241a928b95ff9d,bandit,0.01188063358406525,0.01889788161472007,0.02889981680942985,0.27814285714285714,0.002370643475077784,0.2970714285714286,0.8647497949571102,0.8151273833449828,0.04962241161212744,0.44771428571428573,0.3196285714285715,coverage
active_round2_candidates-fe594bc3976f97cb,fe594bc3976f97cb1826aa0690c0d15859e25b4d587965e97d81e3e1a5e9fb7c,bandit,0.011905937574587489,0.01894386856413966,0.028820054549469915,0.2780714285714286,0.004301289188852161,0.6225,0.13365133508240928,0.002776793766137653,0.13087454131627163,0.7586428571428572,0.5119571428571429,coverage
active_round2_candidates-505cb5cb6cd477ca,505cb5cb6cd477ca20af204b3384f964fdd682d3fc9182540483efc377e68837,bandit,0.011905248762124778,0.018897471658343823,0.028862526583841093,0.2777857142857143,0.005847935785410614,0.7889285714285714,1.3603784336118367,1.6592959450162668,0.29891751140443,0.9839285714285714,0.6234714285714287,coverage
active_round2_candidates-4f5c84db3b8d446f,4f5c84db3b8d446f7b5d4c987ddaca442014cc5f0d1bcaa5f56895217b707f70,bandit,0.011905248762124778,0.018897471658343823,0.028862526583841093,0.2777857142857143,0.0032595087892302774,0.4617857142857143,0.8105989905502327,0.6441387900366542,0.16646020051357846,0.8336428571428571,0.4625571428571429,coverage
active_round2_candidates-19229c9148c5c6a5,19229c9148c5c6a535f46128d48b0fe4c06ba8f732eeb08ea12c01b50d527852,bandit,0.011905248762124778,0.018897471658343823,0.028862526583841093,0.2777857142857143,0.002264407917431121,0.27564285714285713,1.0802272088736948,1.056718446877325,0.023508761996369865,0.3221428571428571,0.2858,coverage
active_round2_candidates-e3514c1b2c3a53c4,e3514c1b2c3a53c47091bb10bda38271787950fb0aef22d99b379f3948abf21e,bandit,0.011887425629776266,0.018855831029755857,0.0289112581849059,0.27760714285714283,0.003404183066026752,0.48728571428571427,0.26973680250064325,0.026591064198443648,0.2431457383021996,0.9515714285714286,0.4962714285714286,coverage
active_round2_candidates-ec09f860550c61ef,ec09f860550c61ef77b20ba84b08139e922b39a70b165d55c877b7c738a8a3c9,bandit,0.011887425629776266,0.018855831029755857,0.0289112581849059,0.27760714285714283,0.005763869014306778,0.7824285714285715,-0.584739959414547,-0.5712184577613355,0.013521501653211532,0.22157142857142856,0.4683285714285715,coverage
active_round2_candidates-f21c815489476154,f21c815489476154523c99246394ad4a159b5f081be549eab814f61d3324d14f,bandit,0.011882560332291394,0.01892061435931645,0.028850091328776452,0.2775,0.0029659162459979723,0.40785714285714286,0.12523966776473083,0.273501530913661,0.14826186314893014,0.7951428571428572,0.43317142857142854,coverage
active_round2_candidates-a914501e8dba3cb6,a914501e8dba3cb62a3f7f56a02832307fc2ae2c2d73a8cda47a8f99690b392e,bandit,0.011913055943401326,0.018918584186139138,0.028816039801973663,0.27739285714285716,0.0033546720994873324,0.47785714285714287,0.5300344043442149,0.46676883957772364,0.06326556476649126,0.5036428571428572,0.4028285714285715,coverage
active_round2_candidates-909660514f3153a5,909660514f3153a521588bdc524052f6d4660366816fe3115250745f2a7dfb4c,bandit,0.011913055943401326,0.018918584186139138,0.028816039801973663,0.27739285714285716,0.0022762715275304155,0.278,0.8985507171548962,0.8917839508507932,0.006766766304103,0.11728571428571428,0.24561428571428573,coverage
active_round2_candidates-58a9eb737a0cdedc,58a9eb737a0cdedcd6a7178a7e965c77a4935d72f9995bad3e3f22fcfbad128c,bandit,0.011897834921314729,0.018883813188222517,0.028865125215710396,0.27710714285714283,0.005339639675744829,0.7452857142857143,-0.3755842984394947,-0.05952673852880602,0.3160575599106887,0.9880714285714286,0.6065714285714285,coverage
active_round2_candidates-a41397ad07479c6e,a41397ad07479c6e0ff6462c5af8156a2757726887acddcc8a66eb4dba7e5ae2,bandit,0.011897834921314729,0.018883813188222517,0.028865125215710396,0.27710714285714283,0.0034126867311430565,0.48842857142857143,0.3639738010603641,0.35980675064988105,0.004167050410483042,0.07214285714285715,0.3206428571428571,coverage
active_round2_candidates-474e0dc2e488cd30,474e0dc2e488cd308ca1f0da3ef6af27afdc1930b27609a73d315c0eca653c2c,bandit,0.011913744755864035,0.018956862257678248,0.02877356776760249,0.27667857142857144,0.003877235920633102,0.5604285714285714,-0.18027000818143704,-0.2373631564985697,0.057093148317132664,0.47935714285714287,0.4307142857142857,coverage
active_round2_candidates-67cf085130631649,67cf085130631649b30e35d23947f7941de40f0c7bf1a89ae88e2081b3355f14,bandit,0.011913744755864035,0.018956862257678248,0.02877356776760249,0.27667857142857144,0.0028713340799705065,0.3906428571428571,-0.3037714508202956,-0.16215770226039397,0.14161374855990164,0.7812142857142857,0.42317142857142864,coverage
active_round2_candidates-b5257224227e9a17,b5257224227e9a17b5cb2df59b4f0607f17e1d98e63d9160ed4d2057f0dbb0e6,bandit,0.011913744755864035,0.018956862257678248,0.02877356776760249,0.27667857142857144,0.003887688966311983,0.5622857142857143,-0.1320800369505254,-0.16215770226039397,0.03007766530986858,0.362,0.40798571428571434,coverage
active_round2_candidates-08b1036ea587d97f,08b1036ea587d97ffd75392e3a153d0f0b2f00514b9998f223e083e710394f7f,bandit,0.011913744755864035,0.018956862257678248,0.02877356776760249,0.27667857142857144,0.0024352674015015907,0.3092142857142857,0.1882463046292442,0.1789583755699457,0.009287929059298483,0.15914285714285714,0.2661857142857143,coverage
active_round2_candidates-112524ac70d4bf1d,112524ac70d4bf1d98e1e71e172e10777e9d5d5941fa00be2a27a4f9c12500a3,bandit,0.011855780974541309,0.018848453431042068,0.028939154352506942,0.2764642857142857,0.00844542684015083,0.9264285714285714,-0.867261664068131,-0.9446912842838501,0.07742962021571909,0.5630714285714286,0.5937714285714286,coverage
active_round2_candidates-0978fe2034e9c690,0978fe2034e9c6905124aac121162a35d95c6d1c1b758403d0ecb55e9a580cf3,bandit,0.011855780974541309,0.018848453431042068,0.028939154352506942,0.2764642857142857,0.0036244118895553145,0.5234285714285715,-0.1709120901448603,-0.0009977083145682464,0.16991438183029206,0.8411428571428572,0.48818571428571433,coverage
active_round2_candidates-19ebb509da940b9b,19ebb509da940b9bb72329fd175653d976cc1fd10dca7904bba310115cb7c1ac,bandit,0.011881322396527958,0.018900993305351343,0.02885734477505867,0.2759642857142857,0.00536540445978953,0.7477142857142857,-0.32122768082801334,0.05333665887566874,0.3745643397036821,0.9962142857142857,0.6087142857142858,coverage
active_round2_candidates-f7578605e9883e35,f7578605e9883e35b4e250edc05dbedd18dbdc9c50df5dbe7e65d65a0e7da0b8,bandit,0.011881322396527958,0.018900993305351343,0.02885734477505867,0.2759642857142857,0.0049634434908259325,0.7036428571428571,-0.6726739090754819,-0.6551274055988657,0.017546503476616127,0.2695714285714286,0.44575714285714285,coverage
active_round2_candidates-cb5f6efed3391ecf,cb5f6efed3391ecf93d782b684801525c5610066303336382a66e2246235531f,bandit,0.011855628945104965,0.018816435011533243,0.02896713255600162,0.27585714285714286,0.004309339848982397,0.6236428571428572,-0.9654308668847285,-0.7535343305217926,0.21189653636293582,0.9214285714285714,0.5440857142857143,coverage
active_round2_candidates-790db25d14df0320,790db25d14df0320aac2355243e57df5d9222331845d82cfd7f7c13676d00bbf,bandit,0.011864572440276777,0.01882148049227374,0.02894913054112628,0.2757142857142857,0.001603714047113482,0.15864285714285714,-0.20093622243269743,-0.19394778858121048,0.006988433851486953,0.12178571428571429,0.1981,coverage
active_round2_candidates-a08d6c327acffc5e,a08d6c327acffc5e5054a994028fd6f11290aa1156c585ad3929e3110d0eac7c,bandit,0.011870492200746225,0.018763285215669313,0.02899883135288777,0.2752142857142857,0.005800875523310335,0.785,0.4790856055401356,0.8549873657454172,0.37590176020528165,0.9964285714285714,0.6233714285714287,coverage
active_round2_candidates-56c18afe2c1a936d,56c18afe2c1a936d84909f8ee12fdcdcccef6c9f8c8199460029d69d80976140,bandit,0.011870492200746225,0.018763285215669313,0.02899883135288777,0.2752142857142857,0.005551986158397018,0.7651428571428571,-0.010133420167986573,0.1465233012708832,0.15665672143886977,0.8114285714285714,0.5784285714285714,coverage
active_round2_candidates-f480ff23c322b66c,f480ff23c322b66c772a49297e569553a05705f7be7c28da8f9839c01c36aef6,bandit,0.011870492200746225,0.018763285215669313,0.02899883135288777,0.2752142857142857,0.0033086807790225405,0.46914285714285714,0.8460904403338313,0.975416093944215,0.12932565361038373,0.7540714285714286,0.4485571428571429,coverage
active_round2_candidates-cfacaf08a8154183,cfacaf08a81541836b358e31ff4df38a64caf4229fe43d52cd36a839b85844d1,bandit,0.011855906424185597,0.018833210645492572,0.02894132543158264,0.275,0.007280411933901077,0.8819285714285714,-0.5717854871100261,-0.35370273276629477,0.2180827543437313,0.9292857142857143,0.6486285714285714,coverage
