method,split,dataset,n,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
mean_difference_rank2,mech_task_holdout,fresh_signed_history,24,0.10140699108957696,0.3854220042580346,0.15486875151246218,0.04687500000000001,0.2052367358450121,0.2916666666666667,-0.6550955643707421,4.981445515528371e-07,0.0,24,0.1,16,0.6666666666666666,4.878193322621627e-07,8.27098856071018e-08,0.437999892461858
mean_difference_rank2,mech_task_holdout,original_pairs,18,0.22891041300427073,0.5538023587226379,0.1151019540741781,0.010882393326755497,0.6148310185538897,0.5,-3.7264830514613467,5.660879443991629e-05,0.06374455011199615,18,0.1,12,0.6666666666666666,0.23872473769101527,1.963852125363985e-08,0.3196585965867833
pca_rank2,mech_pair_test,fresh_signed_history,32,0.10850344482196206,0.41753444968977504,0.27196850693677027,0.03906250000000001,0.34923183044797695,0.5,-0.15050107669102553,1.4002773429666604e-07,0.1926043950253534,32,0.1,32,1.0,1.4002773429666604e-07,-0.2739340437717725,0.9040767530882361
pca_rank2,mech_pair_test,original_pairs,24,0.23116709780148104,0.14257004888596628,0.1705812582606173,-0.0027891311315207026,1.033713944156659,0.5416666666666666,0.22028982164072364,0.35453397139965587,0.20617154410103594,24,0.1,24,1.0,0.35453397139965587,-0.30284749954382795,0.6685196134436662
pca_rank2,mech_pair_validation,original_pairs,22,0.1936671358033859,0.15266126282579404,0.18376931372005306,-0.045345265912544716,1.0267208478245202,0.5,0.17626278402541468,0.2168010327178181,0.1237029264606216,22,0.1,22,1.0,0.2168010327178181,-0.30123087768211987,0.6632277498054675
pca_rank2,mech_task_holdout,fresh_signed_history,24,0.1672115142945334,0.4604644127901505,0.27110321788907915,0.03645833333333335,0.19757907009814735,0.5,-1.3177083765286053,1.65026622878095e-06,0.1797457976361481,24,0.1,16,0.6666666666666666,0.19370867964195965,8.533585188486015e-08,0.6746285517923145
pca_rank2,mech_task_holdout,original_pairs,18,0.19739651660240387,0.10452304402282975,0.04640889915864655,0.08469901088890137,0.6272690661052418,0.5555555555555556,-25.15810668805379,5.660879443991629e-05,0.19123365033598846,18,0.1,12,0.6666666666666666,0.3418336308285613,-0.06780789974617779,0.5881234386175157
ridge_persistence_rank2,mech_pair_test,fresh_signed_history,32,0.15439439069743377,0.41762587380530475,0.21817773614820338,0.035156250000000014,0.3401244975025906,0.4375,0.09343517655317973,3.826083790903212e-07,0.0,32,0.1,32,1.0,3.826083790903212e-07,5.284894419310682e-08,0.6719634072410641
ridge_persistence_rank2,mech_pair_test,original_pairs,24,0.1945369378252767,-0.0031698538765767706,-0.003507167438084023,0.17589444708692217,1.0580524782251417,0.5416666666666666,0.21302422543701763,0.2958691091489143,0.16493723528082876,24,0.1,24,1.0,0.2958691091489143,-0.22533602335880498,0.6323740561212331
ridge_persistence_rank2,mech_pair_validation,original_pairs,22,0.2256561219777996,0.16789025876351604,0.18012913051854912,-0.029932068090780767,1.0061486172220608,0.5,0.20823524545797323,0.2168010327178181,0.1237029264606216,22,0.1,22,1.0,0.2168010327178181,-0.12880372621893343,0.6454669678405327
ridge_persistence_rank2,mech_task_holdout,fresh_signed_history,24,0.13082697524886278,0.45315046831285605,0.2806883499576235,0.04687500000000002,0.2018490458396123,0.5,-1.5880564062912972,5.084697708435115e-07,0.17974579763614815,24,0.1,16,0.6666666666666666,0.19370867964196026,8.621117397744626e-08,0.9230889582399293
ridge_persistence_rank2,mech_task_holdout,original_pairs,18,0.19546737422628735,0.1900648262030424,0.08586631864441431,0.048354228047317746,0.6280224674351687,0.5,-21.314250751368338,5.660879443991629e-05,0.06374455011199617,18,0.1,12,0.6666666666666666,0.2791916671388993,-0.06780789974617779,0.5779467950808552
random_000,mech_pair_test,fresh_signed_history,32,-0.031586205468325135,0.04748372117175808,0.010975354379664005,0.003906250000000003,0.37567020218925035,0.28125,0.01944582542455168,1.4002773429666604e-07,0.0,32,0.1,32,1.0,1.4002773429666604e-07,2.3741729360260422e-08,0.4844335838294308
random_000,mech_pair_test,original_pairs,24,0.007431860291060688,-0.11820072663216964,-0.03753841509355504,0.05343818641420582,1.1745312052027808,0.2916666666666667,0.017904799969234164,1.2672469518193452e-08,0.0,24,0.1,24,1.0,1.2672469518193452e-08,4.352686655550997e-09,0.1581361660496774
random_000,mech_pair_validation,original_pairs,22,-0.06287905297626772,-0.48899726715076725,-0.1656401208225404,0.16154088414061119,1.1787918489732925,0.13636363636363635,-0.0317454771170583,1.2672469518193452e-08,0.0,22,0.1,22,1.0,1.2672469518193452e-08,-0.12880372621893327,1.318748477086018e-08
random_000,mech_task_holdout,fresh_signed_history,24,-0.14789151075177642,-0.08149719661766693,-0.025335302590973864,-0.005208333333333333,0.2319658235055058,0.08333333333333333,-0.48053224580466575,4.878193322621627e-07,0.0,24,0.1,16,0.6666666666666666,8.621117397744626e-08,8.27098856071018e-08,4.878193322621627e-07
random_000,mech_task_holdout,original_pairs,18,-0.01631268311758416,0.1074047706010379,0.023204449579323157,-0.02015049455554926,0.705857483246527,0.2222222222222222,-5.969323762867472,2.8314216480584964e-05,0.0,18,0.1,12,0.6666666666666666,1.502037122458333e-08,-0.27123165790027476,0.23872473769101524
random_001,mech_pair_test,fresh_signed_history,32,-0.027149517880883822,0.04473539364329547,0.009624570558207757,0.003906250000000003,0.37486148292534166,0.21875,-0.09764266577026735,1.0813335737935859e-07,0.0,32,0.1,32,1.0,1.0813335737935859e-07,2.3741729360260422e-08,4.4965422718590276e-07
random_001,mech_pair_test,original_pairs,24,0.050585196831206214,0.12615078393070894,0.03395483726471863,-0.007664501272041504,1.148715268818828,0.3333333333333333,0.04832909376880385,1.2672469518193452e-08,0.0,24,0.1,24,1.0,1.2672469518193452e-08,5.4624399448144345e-09,0.1640550326321543
random_001,mech_pair_validation,original_pairs,22,0.04873184797720487,0.49579085792259825,0.13489373255725587,-0.12733672956831302,1.1151843821028942,0.2727272727272727,0.023088276238105634,1.2672469518193452e-08,0.0,22,0.1,22,1.0,1.2672469518193452e-08,5.832357707902247e-09,0.11860212783412916
