job_index,contrast_family,random_index,control_role,abstraction,layer,rank,row_set_sha256,global_cfr,correlation,slope,intercept,rmse,sign_accuracy
3,same_history_different_evidence,15,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.049999999999999996,0.07905694150420949,0.6
3,same_history_different_evidence,15,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.049999999999999996,0.07905694150420949,0.1
3,same_history_different_evidence,15,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,-0.00024095015666403263,-0.16666666666666666,-0.0020452780842917287,-0.052083333333333315,5.093645514429427,0.2
3,same_history_different_evidence,16,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.01249999999999999,0.11858541225631422,0.4
3,same_history_different_evidence,16,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.01249999999999999,0.11858541225631422,0.4
3,same_history_different_evidence,16,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.01249999999999999,0.1185854122563138,0.5
3,same_history_different_evidence,16,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,-0.015268140059394364,-0.3029196256855408,-0.0071584732950210495,0.005208333333333325,5.131765244461603,0.2
3,same_history_different_evidence,17,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.07500000000000004,0.13693063937629152,0.4
3,same_history_different_evidence,17,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.07500000000000004,0.13693063937629152,0.4
3,same_history_different_evidence,17,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.07500000000000004,0.13693063937629177,0.3
3,same_history_different_evidence,17,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,0.028729153943808927,0.5345224838248488,0.012271668505750366,-0.06250000000000004,5.019339581207168,0.5
3,same_history_different_evidence,18,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.012500000000000002,0.06846531968814576,0.7
3,same_history_different_evidence,18,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.012500000000000002,0.06846531968814576,0.7
3,same_history_different_evidence,18,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.012500000000000002,0.06846531968814616,0.4
3,same_history_different_evidence,18,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,0.014545289589402599,0.5306686305052324,0.007158473295021046,-0.00520833333333334,5.055856478290299,0.3
3,same_history_different_evidence,19,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.075,0.13693063937629152,0.4
3,same_history_different_evidence,19,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.075,0.13693063937629152,0.4
3,same_history_different_evidence,19,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.075,0.13693063937629182,0.2
3,same_history_different_evidence,19,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,-0.02035752007919256,-0.3118047822311618,-0.007158473295021051,0.06770833333333333,5.144611532804305,0.2
3,same_history_different_evidence,20,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.025000000000000005,0.22360679774997896,0.0
3,same_history_different_evidence,20,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.025000000000000005,0.22360679774997896,0.0
3,same_history_different_evidence,20,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.025000000000000005,0.22360679774997927,0.1
3,same_history_different_evidence,20,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,0.07661107718349014,0.8956646637405193,0.0398829226436887,0.015624999999999974,4.894053722578334,1.0
