target,layer,split,r2,pearson_r,mse,contrast_sign_accuracy,task_macro_r2
outcome_history,5,validation,0.1882760035898936,0.4349043741199534,2.459341386893873,1.0,0.14412679314955903
outcome_history,5,test,0.23972673211742812,0.4932133727240045,2.2303646406034323,1.0,0.21505070937068713
outcome_history,5,transfer,0.09838497507049582,0.32657489282082847,1.5664559263677988,1.0,0.098384975070496
outcome_history,6,validation,0.1763981907592922,0.4212476030691582,2.4953284918818577,1.0,0.02938014647936904
outcome_history,6,test,0.23129293786628968,0.4833419686018589,2.2551063187322087,1.0,0.17894548049534512
outcome_history,6,transfer,0.09704355669082887,0.39748388372221594,1.5687864917559835,1.0,0.09704355669082887
outcome_history,7,validation,0.1030513489737559,0.3249747976026122,2.7175529479764027,1.0,-0.4776388121699725
outcome_history,7,test,0.12082394032042254,0.3591589417774755,2.5791820904549425,1.0,-0.04828158011923442
outcome_history,7,transfer,-0.05417483521662958,0.27582053582540855,1.8315116456516471,1.0,-0.05417483521662932
outcome_history,8,validation,0.05401047186007912,0.240267303618106,2.8661357905049454,1.0,-0.5645796754260916
outcome_history,8,test,0.06407788668273062,0.2742000572172494,2.7456543273123386,1.0,-0.11162416416377646
outcome_history,8,transfer,-0.056843289249947526,0.3804736584238336,1.8361477880396444,1.0,-0.056843289249947304
