target,layer,heldout_task,target_normalization_used,r2,pearson_r,mse,contrast_sign_accuracy
contextual_outcome_history,29,solvability,False,-0.3116220580947322,0.5094018561800013,2.362810885073514,
contextual_outcome_history,30,bandit,False,0.03693981006906144,0.2221855712098006,2.4320661451475303,1.0
contextual_outcome_history,30,debugging,False,0.011611291102450738,0.13246441275486828,2.700512206933278,1.0
contextual_outcome_history,30,foraging,False,0.06751842792713503,0.39170063910731256,2.798176934296367,1.0
contextual_outcome_history,30,solvability,False,-0.33008667907222766,0.5053056594220847,2.3960738263035184,
contextual_outcome_history,31,bandit,False,0.037372291460492146,0.20724689858341588,2.4309739773251016,1.0
contextual_outcome_history,31,debugging,False,-0.006863751112442085,0.1002042493374458,2.7509904009634134,1.0
contextual_outcome_history,31,foraging,False,0.05615754732197864,0.3753800740132109,2.8322684970840117,1.0
contextual_outcome_history,31,solvability,False,-0.2194896291692663,0.4682096375344314,2.1968396705838975,
outcome_history,0,bandit,False,0.03670817925039571,0.43943345372717557,2.5733916540867154,1.0
outcome_history,0,debugging,False,-0.07661722331037657,0.37058370659222256,3.4114689374888787,1.0
outcome_history,0,foraging,False,0.08025084083796452,0.7213223647731505,3.140926117317982,1.0
outcome_history,0,solvability,False,-1.8010669443351963,0.8405641968279272,5.045959257126792,1.0
outcome_history,1,bandit,False,-0.06418859470526339,-0.2619363506966208,2.8429329399451566,1.0
outcome_history,1,debugging,False,-0.0002699590040871058,-0.0038405112870628236,3.1695479325078235,1.0
outcome_history,1,foraging,False,0.0014293305516049903,0.07774541340151268,3.4101000956779437,1.0
outcome_history,1,solvability,False,-0.4597667783835422,-0.8581340885718947,2.629684986118321,0.0
outcome_history,2,bandit,False,0.02845990807834775,0.3705554929478543,2.5954265470833935,0.0
outcome_history,2,debugging,False,-0.0064544509543777995,0.20575752014694287,3.189144685862459,0.0
outcome_history,2,foraging,False,0.00013987217390798445,0.11897142249603264,3.4145035718381096,0.0
outcome_history,2,solvability,False,-0.5897768350065982,-0.8691011265134378,2.863890544847796,0.0
