artifact_id,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_valid,bootstrap_samples,confidence,resampling_unit,stratified_by
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,correlation,0.8755067151467326,0.8281099577277934,0.9399442385874606,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,slope,1.2778960520540372,0.9343313120290725,1.6335414075179961,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,intercept,-0.28226218041847634,-0.6502107145997986,0.09195080768270772,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,rmse,0.2126203318031485,0.13486870612659654,0.2920250437508432,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,candidate,global_cfr,0.9682648384627148,0.9424940691509646,0.986712528883866,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,candidate,correlation,0.8564300106887597,0.7935329516314139,0.9320307350943706,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,candidate,slope,1.1770732454213224,0.806448294501216,1.5470002325795371,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,candidate,intercept,-0.14587920665036713,-0.5465873586311394,0.27470873417439595,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,candidate,rmse,0.21001714531231006,0.136085363212788,0.2803121392179747,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,candidate,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,generic_value,global_cfr,0.1644076816031108,0.09929562369023891,0.22734432492607418,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,generic_value,correlation,0.18885691386004608,-0.2038945533113428,0.5345105958384885,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,generic_value,slope,0.07366668461279154,-0.0804034913082429,0.22178132183054466,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,generic_value,intercept,0.019995136782535762,-0.1217981054813188,0.17357891903912886,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,generic_value,rmse,1.0737169541987461,1.0283072893508596,1.1251747581213136,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,generic_value,sign_accuracy,0.6666666666666666,0.5416666666666666,0.8,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,persistence_output,global_cfr,0.7892822925246976,0.7275844556491595,0.8518689868159363,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,persistence_output,correlation,0.7379105987934218,0.5964866448548028,0.876633003136392,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,persistence_output,slope,0.8798377455009193,0.5555454371616377,1.223732551475123,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,persistence_output,intercept,-0.3542606552428724,-0.7739463080499708,0.05238112274738988,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,persistence_output,rmse,0.5391915874813176,0.45277920259219706,0.6126028794590563,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,persistence_output,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,persistence_state,global_cfr,0.3891295593457774,0.30778329451370734,0.4654824997275803,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,persistence_state,correlation,0.2628788120191811,0.040716287043222325,0.4545239539443289,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,persistence_state,slope,0.35004869261755023,0.04943812944797529,0.6776924928481977,2000,2000,0.95,contrast_id,task_family
das_002_outcome_history_outcome_history_L30_r2,persistence_state,intercept,-0.08746552235829715,-0.47992504346575926,0.28251777897668495,2000,2000,0.95,contrast_id,task_family
