split,method,endpoint,n,recovery
mech_pair_test,random_084,original_prediction,128,-0.018586985351431107
mech_pair_test,random_084,global_prediction,128,-0.00783964093908418
mech_pair_test,random_084,task_prediction,128,-0.0030753004304115983
mech_pair_test,random_085,natural_effect,128,0.007505629221916443
mech_pair_test,random_085,original_prediction,128,-0.023148745672285198
mech_pair_test,random_085,global_prediction,128,-0.011118188092205772
mech_pair_test,random_085,task_prediction,128,-0.008279004418066949
mech_pair_test,random_086,natural_effect,128,0.021766324743557663
mech_pair_test,random_086,original_prediction,128,-0.010754792485193398
mech_pair_test,random_086,global_prediction,128,-0.0014423670856638093
mech_pair_test,random_086,task_prediction,128,0.0027185087464077773
mech_pair_test,random_087,natural_effect,128,0.0167625719289467
mech_pair_test,random_087,original_prediction,128,-0.01716469229740558
mech_pair_test,random_087,global_prediction,128,-0.006882660072679014
mech_pair_test,random_087,task_prediction,128,-0.0009761179949909771
mech_pair_test,random_088,natural_effect,128,0.020515386539904923
mech_pair_test,random_088,original_prediction,128,-0.012509098619358117
mech_pair_test,random_088,global_prediction,128,-0.0016235589986015597
mech_pair_test,random_088,task_prediction,128,0.002393033802461697
mech_pair_test,random_089,natural_effect,128,0.06129597197898429
mech_pair_test,random_089,original_prediction,128,0.016155316133047437
mech_pair_test,random_089,global_prediction,128,0.022021525842033762
mech_pair_test,random_089,task_prediction,128,0.02838634872959611
mech_pair_test,random_090,natural_effect,128,0.013259944958719072
mech_pair_test,random_090,original_prediction,128,-0.048930645711722454
mech_pair_test,random_090,global_prediction,128,-0.030739911476789006
mech_pair_test,random_090,task_prediction,128,-0.024776252627647155
mech_pair_test,random_091,natural_effect,128,0.013760320240180146
mech_pair_test,random_091,original_prediction,128,-0.02101787317516557
mech_pair_test,random_091,global_prediction,128,-0.009598120982151404
mech_pair_test,random_091,task_prediction,128,-0.0029729419922237543
mech_pair_test,random_092,natural_effect,128,0.019264448336252182
mech_pair_test,random_092,original_prediction,128,-0.0225228043136112
mech_pair_test,random_092,global_prediction,128,-0.011833672887983315
mech_pair_test,random_092,task_prediction,128,-0.005845948695515579
mech_pair_test,random_093,natural_effect,128,0.025769326995246478
mech_pair_test,random_093,original_prediction,128,-0.0018081937950000793
mech_pair_test,random_093,global_prediction,128,0.006706848657073827
mech_pair_test,random_093,task_prediction,128,0.010230160611033656
