pair_split,method,median,max
mech_task_holdout,random_045,0.01716074287554082,0.16124839371962532
mech_task_holdout,random_046,0.017208087545624154,0.7419308896188966
mech_task_holdout,random_047,0.013669772502131458,0.08659081546070545
mech_task_holdout,random_048,0.0181195466584871,0.8482783149190972
mech_task_holdout,random_049,0.020191409445138395,2.053539548904382
mech_task_holdout,random_050,0.014477170591105202,0.8475799002519356
mech_task_holdout,random_051,0.012680515813651762,0.49704557879551503
mech_task_holdout,random_052,0.016576831933960215,0.8310143651376584
mech_task_holdout,random_053,0.023860465038826578,0.47995955846499727
mech_task_holdout,random_054,0.022593409297774356,0.9812813131134905
mech_task_holdout,random_055,0.018287495849379585,0.7460890979524804
mech_task_holdout,random_056,0.022162921202513782,0.36516128252034213
mech_task_holdout,random_057,0.02037847803034063,1.2584052102125791
mech_task_holdout,random_058,0.01979232491338967,1.5671535973295367
mech_task_holdout,random_059,0.0185094411537801,0.1748173973332951
mech_task_holdout,random_060,0.016943273997419447,0.9564568778340825
mech_task_holdout,random_061,0.021693827107975648,1.392630727526059
mech_task_holdout,random_062,0.01621981235080027,0.8454200969114107
mech_task_holdout,random_063,0.013827540803712731,0.7280956276405238
mech_task_holdout,random_064,0.020986121994471515,1.1939955315155895
mech_task_holdout,random_065,0.016738741720851595,1.2641267327213388
mech_task_holdout,random_066,0.015669288834526326,0.8558423218355686
mech_task_holdout,random_067,0.017133227184783884,0.9552676165562934
mech_task_holdout,random_068,0.018575246453603953,0.31814689119363593
mech_task_holdout,random_069,0.021086198911012457,0.8978092179585191
mech_task_holdout,random_070,0.015282695914865472,0.929316718628802
mech_task_holdout,random_071,0.014786294993547208,1.5567884976386845
mech_task_holdout,random_072,0.017782484884985104,1.5437522063888076
mech_task_holdout,random_073,0.017659427959067064,0.7140987716803401
mech_task_holdout,random_074,0.01891404714723043,0.4145875543484708
mech_task_holdout,random_075,0.01946675725382093,0.5817746247170654
mech_task_holdout,random_076,0.016923376567698635,1.2088973920277015
mech_task_holdout,random_077,0.01976899147645311,0.8808739339027997
mech_task_holdout,random_078,0.01693424431309018,1.0803710949058793
mech_task_holdout,random_079,0.01595628781399079,0.7514903670130226
mech_task_holdout,random_080,0.018756000560510244,1.8300227923812198
mech_task_holdout,random_081,0.019430352799272875,0.6149344531966074
mech_task_holdout,random_082,0.017314913522546212,0.718774628531943
mech_task_holdout,random_083,0.019171516846704012,0.993831257343029
