architecture,variant,sharing,heldout_task,sensitivity,source_tasks,source_rows,target_rows,heldout_outcomes_used_for_population,r2,mse,correlation
latent_motivation,M1,fully_shared,information_sampling,with_information_sampling,6,20750,3494,False,-9.599314830795894,2.9567676873268134,-0.037810081957359215
latent_motivation,M3,random_effects,information_sampling,with_information_sampling,6,20750,3494,False,-9.883818344529805,3.036132326434925,-0.014798964748263517
latent_motivation,M4,ontology_conditioned,information_sampling,with_information_sampling,6,20750,3494,False,-15.729691564319733,4.666887645662112,0.0002501806991147079
immediate_state,M1,fully_shared,solvability,with_information_sampling,6,20818,3426,False,0.2973994109880932,1.31625990622399,0.7704539227478922
immediate_state,M3,random_effects,solvability,with_information_sampling,6,20818,3426,False,0.3100165100597012,1.2926228898301253,0.7731591878653508
immediate_state,M4,ontology_conditioned,solvability,with_information_sampling,6,20818,3426,False,0.34753785989804575,1.222329967803013,0.7748264176173746
choice_perseveration,M1,fully_shared,solvability,with_information_sampling,6,20818,3426,False,0.31786578159255774,1.277917975582481,0.7853967449079686
choice_perseveration,M3,random_effects,solvability,with_information_sampling,6,20818,3426,False,0.32536741881996434,1.2638643233825035,0.7862941969639711
choice_perseveration,M4,ontology_conditioned,solvability,with_information_sampling,6,20818,3426,False,0.36401296436887287,1.1914653203703964,0.7882499211321478
outcome_history,M1,fully_shared,solvability,with_information_sampling,6,20818,3426,False,0.40913583487256433,1.1069316233786628,0.8497280291271025
outcome_history,M3,random_effects,solvability,with_information_sampling,6,20818,3426,False,0.421976872128182,1.08287507865292,0.8524301946372388
outcome_history,M4,ontology_conditioned,solvability,with_information_sampling,6,20818,3426,False,0.459986043867903,1.0116682655471474,0.8489950148644753
dual_history,M1,fully_shared,solvability,with_information_sampling,6,20818,3426,False,0.41089633752002963,1.1036334777666321,0.8514822300928538
dual_history,M3,random_effects,solvability,with_information_sampling,6,20818,3426,False,0.4202538940429281,1.0861029253248276,0.8507901641888229
dual_history,M4,ontology_conditioned,solvability,with_information_sampling,6,20818,3426,False,0.45912856924570355,1.0132746682223754,0.8479031132899603
dynamic_reevaluation,M1,fully_shared,solvability,with_information_sampling,6,20818,3426,False,-0.04278670532132378,1.9535684319425022,0.7279597031581033
dynamic_reevaluation,M3,random_effects,solvability,with_information_sampling,6,20818,3426,False,0.013958327858011432,1.8472616436769955,0.7294342364671443
dynamic_reevaluation,M4,ontology_conditioned,solvability,with_information_sampling,6,20818,3426,False,-0.061660531857724576,1.9889268724781528,0.7293493402511338
latent_context,M1,fully_shared,solvability,with_information_sampling,6,20818,3426,False,0.4070458258923212,1.1108470698889068,0.8471900304321996
latent_context,M3,random_effects,solvability,with_information_sampling,6,20818,3426,False,0.41985888826259243,1.0868429336304193,0.8499226618433676
latent_context,M4,ontology_conditioned,solvability,with_information_sampling,6,20818,3426,False,0.45729128376316563,1.0167166596678325,0.8464680884657446
latent_motivation,M1,fully_shared,solvability,with_information_sampling,6,20818,3426,False,-0.18903956335449412,2.2275601937064096,0.5070451072571435
latent_motivation,M3,random_effects,solvability,with_information_sampling,6,20818,3426,False,-0.11829617393937886,2.095028726221504,0.5283035524524515
latent_motivation,M4,ontology_conditioned,solvability,with_information_sampling,6,20818,3426,False,-0.19734566349542826,2.2431209358457926,0.510200454293231
immediate_state,M1,fully_shared,waiting,with_information_sampling,6,20882,3362,False,-0.5817830540235356,1.4446523369848236,0.720313371538224
immediate_state,M3,random_effects,waiting,with_information_sampling,6,20882,3362,False,-0.09613245081446364,1.0011046095645273,0.7293901386593914
immediate_state,M4,ontology_conditioned,waiting,with_information_sampling,6,20882,3362,False,0.13879616703340325,0.7865428364217195,0.6256528277148907
choice_perseveration,M1,fully_shared,waiting,with_information_sampling,6,20882,3362,False,-0.6433901711896348,1.500918501654191,0.6845850531385688
choice_perseveration,M3,random_effects,waiting,with_information_sampling,6,20882,3362,False,-0.14430968673471734,1.0451051798605777,0.6962079461943826
choice_perseveration,M4,ontology_conditioned,waiting,with_information_sampling,6,20882,3362,False,0.06359946064974742,0.8552204577518907,0.4992747134156494
outcome_history,M1,fully_shared,waiting,with_information_sampling,6,20882,3362,False,-0.4200697518586536,1.2969585686771037,0.7275559969753611
outcome_history,M3,random_effects,waiting,with_information_sampling,6,20882,3362,False,0.047282722352032014,0.8701226366909082,0.735330147298291
outcome_history,M4,ontology_conditioned,waiting,with_information_sampling,6,20882,3362,False,0.09504382403406064,0.8265021243922059,0.5219176766641402
dual_history,M1,fully_shared,waiting,with_information_sampling,6,20882,3362,False,-0.4215822787411212,1.2983399689202983,0.7274071673112924
dual_history,M3,random_effects,waiting,with_information_sampling,6,20882,3362,False,0.043737934598045314,0.8733601134737615,0.7363971619798667
dual_history,M4,ontology_conditioned,waiting,with_information_sampling,6,20882,3362,False,0.09596951172877721,0.8256566880423293,0.5211082514525227
dynamic_reevaluation,M1,fully_shared,waiting,with_information_sampling,6,20882,3362,False,-0.707882767959207,1.5598199928570398,0.6376726527071092
dynamic_reevaluation,M3,random_effects,waiting,with_information_sampling,6,20882,3362,False,-0.551617452091616,1.4171019044418454,0.6418609152727234
dynamic_reevaluation,M4,ontology_conditioned,waiting,with_information_sampling,6,20882,3362,False,-0.5924999310630661,1.454440127681503,0.5567318375973409
latent_context,M1,fully_shared,waiting,with_information_sampling,6,20882,3362,False,-0.41579693161798104,1.2930561752796639,0.7296786905649564
latent_context,M3,random_effects,waiting,with_information_sampling,6,20882,3362,False,0.04500012459653002,0.8722073474693517,0.73768024809221
latent_context,M4,ontology_conditioned,waiting,with_information_sampling,6,20882,3362,False,0.09426224717347342,0.8272159434177091,0.525062043405499
latent_motivation,M1,fully_shared,waiting,with_information_sampling,6,20882,3362,False,-1.3977729788145319,2.1899010288372547,0.02229892750150493
latent_motivation,M3,random_effects,waiting,with_information_sampling,6,20882,3362,False,-1.4671693280561477,2.253281147782835,0.004515836773168458
latent_motivation,M4,ontology_conditioned,waiting,with_information_sampling,6,20882,3362,False,-3.763441183922784,4.350480567445385,-0.15429569399290657
immediate_state,M1,fully_shared,bandit,without_information_sampling,5,17284,3466,False,-0.09694010448846924,1.4935288315882804,0.8093818611760303
immediate_state,M3,random_effects,bandit,without_information_sampling,5,17284,3466,False,0.15358067073387505,1.152434546517084,0.807929230412864
immediate_state,M4,ontology_conditioned,bandit,without_information_sampling,5,17284,3466,False,0.24527592071936255,1.0275877121159627,0.7881159492970152
choice_perseveration,M1,fully_shared,bandit,without_information_sampling,5,17284,3466,False,-0.08803452625007746,1.481403522461028,0.814250134072634
choice_perseveration,M3,random_effects,bandit,without_information_sampling,5,17284,3466,False,0.170106406084509,1.1299340817165202,0.8131442997431239
choice_perseveration,M4,ontology_conditioned,bandit,without_information_sampling,5,17284,3466,False,0.2721420532114125,0.9910083735486499,0.7960297071580948
outcome_history,M1,fully_shared,bandit,without_information_sampling,5,17284,3466,False,0.1358537839564815,1.1765704281281264,0.8908708832049247
outcome_history,M3,random_effects,bandit,without_information_sampling,5,17284,3466,False,0.36586806326782007,0.863396576226083,0.8893995034470639
outcome_history,M4,ontology_conditioned,bandit,without_information_sampling,5,17284,3466,False,0.4700863012962141,0.7214991812490604,0.8736070226019883
dual_history,M1,fully_shared,bandit,without_information_sampling,5,17284,3466,False,0.1427806182728768,1.1671392598074133,0.893056987627507
dual_history,M3,random_effects,bandit,without_information_sampling,5,17284,3466,False,0.37245238175181883,0.8544317572245956,0.8918108152401427
dual_history,M4,ontology_conditioned,bandit,without_information_sampling,5,17284,3466,False,0.4805586261620918,0.7072406824878718,0.8752408372541746
dynamic_reevaluation,M1,fully_shared,bandit,without_information_sampling,5,17284,3466,False,-0.1475624486900331,1.5624532243406801,0.7821127285736064
dynamic_reevaluation,M3,random_effects,bandit,without_information_sampling,5,17284,3466,False,0.05023740050356362,1.2931406370392864,0.7837567118856624
dynamic_reevaluation,M4,ontology_conditioned,bandit,without_information_sampling,5,17284,3466,False,0.35719863076588,0.8752003632716793,0.7658475374168638
latent_context,M1,fully_shared,bandit,without_information_sampling,5,17284,3466,False,0.13458906378033464,1.178292396391697,0.8867844414169175
latent_context,M3,random_effects,bandit,without_information_sampling,5,17284,3466,False,0.3641454710577322,0.8657419559968731,0.8858249232478937
latent_context,M4,ontology_conditioned,bandit,without_information_sampling,5,17284,3466,False,0.4616163043242595,0.7330314286610363,0.86932255458948
latent_motivation,M1,fully_shared,bandit,without_information_sampling,5,17284,3466,False,-0.9358654080689777,2.635759955529844,0.05651877925663414
latent_motivation,M3,random_effects,bandit,without_information_sampling,5,17284,3466,False,-0.6518502292255668,2.2490616695654118,-0.0076445799633308
latent_motivation,M4,ontology_conditioned,bandit,without_information_sampling,5,17284,3466,False,-0.5383267972657448,2.0944948723455123,-0.1008127866200949
immediate_state,M1,fully_shared,debugging,without_information_sampling,5,17186,3564,False,-0.21178453799920227,1.1127745065654813,0.7660094607068072
immediate_state,M3,random_effects,debugging,without_information_sampling,5,17186,3564,False,-0.25332072821264173,1.15091694205627,0.7693819532687967
immediate_state,M4,ontology_conditioned,debugging,without_information_sampling,5,17186,3564,False,-0.17557122667835356,1.0795200389827415,0.7508375972085041
choice_perseveration,M1,fully_shared,debugging,without_information_sampling,5,17186,3564,False,-0.16341025202250137,1.0683526885605577,0.786979526593712
choice_perseveration,M3,random_effects,debugging,without_information_sampling,5,17186,3564,False,-0.2050035770229981,1.1065475905851911,0.7902602723525258
choice_perseveration,M4,ontology_conditioned,debugging,without_information_sampling,5,17186,3564,False,-0.11961445553114869,1.0281352701152175,0.7734499902692763
outcome_history,M1,fully_shared,debugging,without_information_sampling,5,17186,3564,False,-0.21196461402944045,1.1129398693089465,0.8337599638842819
outcome_history,M3,random_effects,debugging,without_information_sampling,5,17186,3564,False,-0.22689364945302537,1.126649113408073,0.8379808243098289
outcome_history,M4,ontology_conditioned,debugging,without_information_sampling,5,17186,3564,False,-0.13512065565550735,1.0423745211132363,0.8179542699627997
dual_history,M1,fully_shared,debugging,without_information_sampling,5,17186,3564,False,-0.20384033156883086,1.1054793892295172,0.8343836365141863
dual_history,M3,random_effects,debugging,without_information_sampling,5,17186,3564,False,-0.22402396386572,1.1240138982660444,0.8386100464329034
dual_history,M4,ontology_conditioned,debugging,without_information_sampling,5,17186,3564,False,-0.12688941688437438,1.0348158236924112,0.8187990763729983
dynamic_reevaluation,M1,fully_shared,debugging,without_information_sampling,5,17186,3564,False,-0.19395325550381037,1.0964001463075088,0.7254033791401494
dynamic_reevaluation,M3,random_effects,debugging,without_information_sampling,5,17186,3564,False,-0.21914621538132817,1.1195346909542958,0.7259850780254056
dynamic_reevaluation,M4,ontology_conditioned,debugging,without_information_sampling,5,17186,3564,False,-0.06843633167181107,0.9811387045223339,0.707031009440838
latent_context,M1,fully_shared,debugging,without_information_sampling,5,17186,3564,False,-0.21088340659964522,1.1119470029812644,0.8333721756840059
latent_context,M3,random_effects,debugging,without_information_sampling,5,17186,3564,False,-0.23097914911110173,1.1304008033525543,0.8376740030123265
latent_context,M4,ontology_conditioned,debugging,without_information_sampling,5,17186,3564,False,-0.1402833606816669,1.0471154023160227,0.8171975881083144
latent_motivation,M1,fully_shared,debugging,without_information_sampling,5,17186,3564,False,-0.47804108345406693,1.3572763026335883,0.5309201860797446
latent_motivation,M3,random_effects,debugging,without_information_sampling,5,17186,3564,False,-0.5271922733542271,1.4024115468730993,0.5361699541471128
latent_motivation,M4,ontology_conditioned,debugging,without_information_sampling,5,17186,3564,False,-0.4427488928474108,1.3248676947033537,0.5381515095946006
immediate_state,M1,fully_shared,effort,without_information_sampling,5,17332,3418,False,0.6273459751181022,0.44250854652452276,0.8067780804033822
immediate_state,M3,random_effects,effort,without_information_sampling,5,17332,3418,False,0.6559318960000102,0.40856415452573247,0.8134959934363758
immediate_state,M4,ontology_conditioned,effort,without_information_sampling,5,17332,3418,False,0.5842057695291563,0.4937354443904014,0.7991964068552255
choice_perseveration,M1,fully_shared,effort,without_information_sampling,5,17332,3418,False,0.6534792017633985,0.4114766097502697,0.8203033755742918
choice_perseveration,M3,random_effects,effort,without_information_sampling,5,17332,3418,False,0.6779218500891164,0.3824521525818509,0.8259448032261865
choice_perseveration,M4,ontology_conditioned,effort,without_information_sampling,5,17332,3418,False,0.6078562148510602,0.46565168979424426,0.812180694991506
outcome_history,M1,fully_shared,effort,without_information_sampling,5,17332,3418,False,0.7170591310135128,0.3359785332448125,0.8690095501168974
outcome_history,M3,random_effects,effort,without_information_sampling,5,17332,3418,False,0.7567615867851771,0.28883379623964733,0.8766533452899747
outcome_history,M4,ontology_conditioned,effort,without_information_sampling,5,17332,3418,False,0.6644461544410679,0.3984538863522419,0.8637919537806236
dual_history,M1,fully_shared,effort,without_information_sampling,5,17332,3418,False,0.7196310771048632,0.3329244722374651,0.8697863764350375
dual_history,M3,random_effects,effort,without_information_sampling,5,17332,3418,False,0.7577186791664134,0.2876972955440094,0.8771619348323096
dual_history,M4,ontology_conditioned,effort,without_information_sampling,5,17332,3418,False,0.6674207047414517,0.3949217524100309,0.8646025078413726
dynamic_reevaluation,M1,fully_shared,effort,without_information_sampling,5,17332,3418,False,0.5782768901207189,0.5007757005915204,0.7875477732752769
dynamic_reevaluation,M3,random_effects,effort,without_information_sampling,5,17332,3418,False,0.5989579435676016,0.4762179545581151,0.7888491543439193
dynamic_reevaluation,M4,ontology_conditioned,effort,without_information_sampling,5,17332,3418,False,0.5431933737458854,0.5424356715066797,0.7761851699750077
latent_context,M1,fully_shared,effort,without_information_sampling,5,17332,3418,False,0.7140271014409911,0.33957892102965165,0.867583301323404
latent_context,M3,random_effects,effort,without_information_sampling,5,17332,3418,False,0.7541215200581836,0.2919687471916998,0.8751010239426193
latent_context,M4,ontology_conditioned,effort,without_information_sampling,5,17332,3418,False,0.6594091025960129,0.4044351406575734,0.8613999699131948
latent_motivation,M1,fully_shared,effort,without_information_sampling,5,17332,3418,False,0.2728698933811149,0.863431668867973,0.5737181251101419
latent_motivation,M3,random_effects,effort,without_information_sampling,5,17332,3418,False,0.2938265679521205,0.8385466361426668,0.5878988699934756
