architecture,task_family,parameter,estimate_mean,interval_low,interval_high,probability_positive
dual_history,foraging,history_action_kernel,-0.03196298440021222,-0.06952534149806552,0.0031488117933915196,0.05
dual_history,foraging,history_action_kernel__available,-0.017712247444170204,-0.023682113730847578,-0.01236874160795966,0.0
dual_history,foraging,history_outcome_1,0.07859897938530336,0.030965070553808646,0.1231023559446583,1.0
dual_history,foraging,history_outcome_1__available,-0.017712247444170416,-0.02368211373084566,-0.012368741607955203,0.0
dual_history,foraging,history_outcome_kernel,0.21089302431334767,0.15577369771438035,0.2593454378772355,1.0
dual_history,foraging,history_outcome_kernel__available,-0.017712247444171537,-0.023682113730845052,-0.012368741607936069,0.0
dual_history,foraging,intercept,-0.3242865713513812,-0.33787174098302525,-0.3069747295461729,0.0
dual_history,foraging,response_mapping,-0.07015031573812754,-0.077347300204705,-0.06208965340072134,0.0
dual_history,foraging,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,information_sampling,factor_continuation_cost,-0.18972913761271687,-0.20182393550375827,-0.17399332326640962,0.0
dual_history,information_sampling,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,information_sampling,factor_continuation_value,0.09092792729685303,0.07773608227695032,0.10274328795035532,1.0
dual_history,information_sampling,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,information_sampling,factor_controllability,0.08224486152881123,0.06699708867257573,0.09613111742927327,1.0
dual_history,information_sampling,factor_controllability__available,0.8589604059279468,0.8489818179713589,0.8691885355527978,1.0
dual_history,information_sampling,factor_disengagement_value,-0.1200769756340177,-0.13601132644753172,-0.10319260279126304,0.0
dual_history,information_sampling,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,information_sampling,factor_environmental_stability,-0.12536058823016905,-0.1411695162364169,-0.10995580205323524,0.0
dual_history,information_sampling,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,information_sampling,factor_goal_continuity,0.025889418578051285,0.010643181303332437,0.039870027492021655,1.0
dual_history,information_sampling,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,information_sampling,factor_prior_investment,-0.08277838503061569,-0.09805670494115484,-0.06882195922337798,0.0
dual_history,information_sampling,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,information_sampling,factor_progress_evidence,-0.08018981419950237,-0.09031770261288184,-0.06788903352048573,0.0
dual_history,information_sampling,factor_progress_evidence__available,-0.35784844086371037,-0.3675192031383418,-0.3484933869507682,0.0
dual_history,information_sampling,factor_success_evidence,0.032795613148210855,0.019644349035214753,0.045848708671317615,1.0
dual_history,information_sampling,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,information_sampling,factor_uncertainty,0.06662595326113091,0.05265796282359533,0.07896591396084751,1.0
dual_history,information_sampling,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,information_sampling,history_action_1,0.005376157753228968,-0.019075278275020438,0.03535151780645671,0.67
dual_history,information_sampling,history_action_1__available,-0.04637861238284394,-0.05007601133541113,-0.04289806349473121,0.0
dual_history,information_sampling,history_action_kernel,0.07481388503657965,0.047401375497070665,0.09923542054167514,1.0
dual_history,information_sampling,history_action_kernel__available,-0.046378612382838004,-0.05007601133540813,-0.0428980634947369,0.0
dual_history,information_sampling,history_outcome_1,-0.032487670014774435,-0.07218933122277882,-0.004243120587535319,0.02
