theory,method,split,n,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
dual_history,random_010,mech_task_holdout,96,-0.1959732911229306,-0.1137834402727227,-0.03932128436603684,0.0027568518888152786,0.2308144510914028,0.14583333333333334,-1.1555831181166296,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,8.27098856071018e-08,4.878193322621627e-07
dual_history,random_011,mech_pair_test,128,-0.05997623842948219,-0.06856922318796291,-0.014882618650565378,-0.006637844803580121,0.37121945171501636,0.15625,-0.12955299935457046,8.49965764992966e-08,0.0,128,0.1,128,1.0,8.49965764992966e-08,2.9196169815115525e-08,3.160544077007721e-07
dual_history,random_011,mech_task_holdout,96,-0.09086042617470635,-0.0498363006784725,-0.013740459589077667,-0.002158730878418827,0.22043819643625387,0.09375,-0.5509576712199746,3.5906351725234487e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,8.621117397744626e-08,4.878193322621627e-07
dual_history,random_012,mech_pair_test,128,0.007736008057308341,0.12902855339209024,0.030735862574549824,0.001671400559867454,0.359166874888156,0.25,-0.040736966302136496,1.4002773429666604e-07,0.0,128,0.1,128,1.0,1.4002773429666604e-07,5.08846896840609e-08,0.0870284253768116
dual_history,random_012,mech_task_holdout,96,-0.00962629705291529,0.15164581092705712,0.05077000164614121,0.003165250550187224,0.21207163398086296,0.1875,-1.71392056653067,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,3.4448089980543273e-07,9.783657411999158e-08,5.084697708435115e-07
dual_history,random_013,mech_pair_test,128,-0.03058391014098638,0.0036890643046414073,0.0008794705554539414,-0.01063847596434155,0.3660364536108762,0.21875,-0.12020345960480883,9.888266372382049e-08,0.0,128,0.1,128,1.0,9.888266372382049e-08,2.9196169815115525e-08,4.4965422718590276e-07
dual_history,random_013,mech_task_holdout,96,-0.24956172322735415,-0.1753845289985922,-0.06466394676788571,-0.0014273004684123814,0.23592888342825938,0.125,-1.7299527169140383,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,2.2524914189414602e-07,-0.21718701955508984,4.878193322621627e-07
dual_history,random_014,mech_pair_test,128,-0.014278641943541004,0.03049368907562806,0.006854349487759347,-0.009933888567299166,0.3631293065616727,0.203125,-0.11680441058857799,9.375417253654206e-08,0.0,128,0.1,128,1.0,9.375417253654206e-08,2.9196169815115525e-08,3.1753003781886946e-07
dual_history,random_014,mech_task_holdout,96,-0.12099270068728285,-0.10970470240167,-0.03024688850416779,-0.0031878224977035467,0.223461982814254,0.0625,-1.012294705985065,3.517722085288888e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,8.621117397744626e-08,4.878193322621627e-07
dual_history,random_015,mech_pair_test,128,-0.0530282558773949,0.04912501374244152,0.010948536794972907,0.015939543333137976,0.37000080798606155,0.21875,-0.014782446817183204,9.375417253654206e-08,0.0,128,0.1,128,1.0,9.375417253654206e-08,4.546255971682456e-08,3.505610851606278e-07
dual_history,random_015,mech_task_holdout,96,-0.21679061064294913,-0.1332048154905514,-0.04672686642156525,0.00359723496775243,0.23281458325657164,0.125,-2.0117803108297436,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,8.27098856071018e-08,4.878193322621627e-07
dual_history,random_016,mech_pair_test,128,-0.0359392686723059,0.0072509086089010515,0.001610662918768706,-0.0027397501295016754,0.36698626295488623,0.1875,-0.0926704917090658,9.375417253654206e-08,0.0,128,0.1,128,1.0,9.375417253654206e-08,5.08846896840609e-08,3.1753003781886946e-07
dual_history,random_016,mech_task_holdout,96,-0.19754572378534418,-0.07942850492581059,-0.03214170909040594,-0.005910121559655497,0.23096613548392758,0.19791666666666666,-2.010163312297877,2.2524914189414602e-07,0.0,96,0.1,64,0.6666666666666666,2.2524914189414602e-07,8.27098856071018e-08,4.878193322621627e-07
dual_history,random_017,mech_pair_test,128,-0.0433008358105591,0.004052921844705575,0.0008714223340852942,0.0020558874494243672,0.36828788920457217,0.171875,-0.10373808455684706,9.375417253654206e-08,0.0,128,0.1,128,1.0,9.375417253654206e-08,2.9196169815115525e-08,3.1556253099473963e-07
dual_history,random_017,mech_task_holdout,96,-0.20745500869340172,-0.12014004828764573,-0.04558115472645494,-0.005445919087351216,0.23191975007657015,0.17708333333333334,-1.4442080598845652,2.2524914189414602e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,-0.21718701955508984,3.912524710047993e-07
dual_history,random_018,mech_pair_test,128,-0.08874675310508717,-0.19008348782128176,-0.03484942507721144,-0.0060627422795758515,0.37622365347288494,0.0859375,-0.12212445519790266,9.375417253654206e-08,0.0,128,0.1,128,1.0,9.375417253654206e-08,5.08846896840609e-08,3.001157479198824e-07
dual_history,random_018,mech_task_holdout,96,-0.22954507517364187,-0.1751781738125674,-0.06170006294820867,-0.0025446007687194246,0.23403158987088835,0.125,-1.088407436046047,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,8.27098856071018e-08,3.912524710047993e-07
dual_history,random_019,mech_pair_test,128,-0.01870133405681984,0.043110995745522615,0.009159153034513336,-0.0018495946866029342,0.36392014555672403,0.1796875,-0.08215071458697668,9.888266372382049e-08,0.0,128,0.1,128,1.0,9.888266372382049e-08,5.08846896840609e-08,3.1753003781886946e-07
dual_history,random_019,mech_task_holdout,96,-0.08164122675641794,-0.0019371982210917365,-0.0006542064992927047,-0.009155369770494692,0.219504724240074,0.125,-1.8245313527742788,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,8.621117397744626e-08,4.878193322621627e-07
latent_context,frozen,mech_pair_test,96,-3.7505021024752647,0.4483028699314541,0.316201474123709,0.758881460661836,0.9335000581686284,0.5,-6.155202762874865,-3.3986879802128893,0.6226469677029407,96,0.1,96,1.0,-3.3986879802128893,-7.809282178018003,-1.4225469201483936
latent_context,frozen,mech_task_holdout,96,0.018811705576889493,0.8109405750334288,1.022604033066562,0.2011642376835279,0.290535159181678,0.75,-12.881962768825574,9.988849175579517e-08,0.9688295973956373,96,0.1,76,0.7916666666666666,0.17660753495560094,-0.8654265530321665,0.78767900551635
latent_context,random_000,mech_pair_test,96,-0.002397314923541005,0.10588515608971065,0.01658932712980775,0.008820829640678311,0.4288096392706129,0.14583333333333334,-0.01466621276121946,7.445417748996874e-08,0.0,96,0.1,96,1.0,7.445417748996874e-08,3.962061057016797e-08,2.398509075796085e-07
latent_context,random_000,mech_task_holdout,96,-0.009222722223976465,0.05890054404499387,0.012775828047015289,-0.0069748200897994765,0.2946565006817479,0.125,-0.6119070683187894,2.2336399796429873e-07,0.0,96,0.1,76,0.7916666666666666,1.6367528021810074e-07,4.505028350365592e-08,3.444836090826797e-07
latent_context,random_001,mech_pair_test,96,0.04337597347033573,0.2101148955134525,0.034330563166893244,0.0008750035086729436,0.4189047011266701,0.19791666666666666,0.028528452129101396,7.982434674369543e-08,0.0,96,0.1,96,1.0,7.982434674369543e-08,4.050980240144497e-08,2.8097563767315314e-07
latent_context,random_001,mech_task_holdout,96,-0.08138926985146955,-0.04727286174168678,-0.010678928382019877,0.007112308690664234,0.30500962541448634,0.11458333333333333,-0.8679659437348826,1.6367528021810074e-07,0.0,96,0.1,76,0.7916666666666666,1.5257795438206045e-07,4.42404943790109e-08,3.266409485114252e-07
latent_context,random_002,mech_pair_test,96,-0.008512240645178526,0.07674109496962181,0.01470162059782428,0.0033495934404297457,0.43011558465041655,0.1875,-0.03844805831439564,7.24980673272313e-08,0.0,96,0.1,96,1.0,7.24980673272313e-08,2.2967000162799067e-08,2.8097563767315314e-07
latent_context,random_002,mech_task_holdout,96,-0.03491201518693354,0.0422393260893097,0.009603714174845679,0.003233858800747615,0.29838310674095353,0.14583333333333334,-0.38158877454108403,2.3066236831681408e-07,0.0,96,0.1,76,0.7916666666666666,1.6938470392968696e-07,4.505028350365592e-08,5.350044200991277e-07
latent_context,random_003,mech_pair_test,96,0.03506417603905321,0.2336719712976001,0.035933251368010906,0.01021279490729931,0.4207206290315208,0.17708333333333334,0.03900698240687784,7.797912177087696e-08,0.0,96,0.1,96,1.0,7.797912177087696e-08,4.1137676598523853e-08,2.686587630418291e-07
latent_context,random_003,mech_task_holdout,96,-0.036041897111734666,0.014604395205517066,0.002985859228113116,0.0014978588463468766,0.29854594459834916,0.09375,-1.0029804706179917,2.1606562761178338e-07,0.0,96,0.1,76,0.7916666666666666,1.7149428138685252e-07,4.970637751400275e-08,3.980115907964432e-07
latent_context,random_004,mech_pair_test,96,0.020278221293763,0.21373461735050814,0.031095799488994418,0.014747411248075737,0.42393177858393905,0.15625,0.04787372879496337,7.954795588904773e-08,0.0,96,0.1,96,1.0,7.954795588904773e-08,4.1137676598523853e-08,2.398509075796085e-07
latent_context,random_004,mech_task_holdout,96,-0.0853040542955239,0.004762423426800427,0.001298554653524264,0.01050180973070539,0.30556121597785885,0.16666666666666666,-6.022590997247511,1.5257795438206045e-07,0.0,96,0.1,76,0.7916666666666666,1.579658565065145e-07,3.66339710788921e-08,5.350044200991277e-07
latent_context,random_005,mech_pair_test,96,0.01272029266420005,0.14391057382762343,0.02718253660119345,0.006389907024821362,0.42556381873203897,0.21875,-0.04104904631172941,7.445417748996874e-08,0.0,96,0.1,96,1.0,7.445417748996874e-08,3.558730518604669e-08,3.1003825906594784e-07
latent_context,random_005,mech_task_holdout,96,-0.08581993980547442,-0.08877617499396975,-0.021563013344882774,-0.009226334235708433,0.3056338296731411,0.11458333333333333,-2.0204948261369213,1.579658565065145e-07,0.0,96,0.1,76,0.7916666666666666,1.5257795438206045e-07,3.63047732709898e-08,3.444836090826797e-07
latent_context,random_006,mech_pair_test,96,-0.025669241377727525,0.0009034246015254704,0.0001478384846616635,0.0013226729540182377,0.4337587591862844,0.13541666666666666,-0.05903871406252759,6.881717640183638e-08,0.0,96,0.1,96,1.0,6.881717640183638e-08,2.140583355014769e-08,2.3892511380463333e-07
latent_context,random_006,mech_task_holdout,96,-0.08743333815824572,-0.10946440342370185,-0.026639385178634945,-0.016069596232336746,0.30586081301539175,0.14583333333333334,-0.47572483245382385,2.1606562761178338e-07,0.0,96,0.1,76,0.7916666666666666,1.5527190544428748e-07,3.531717984728289e-08,3.980115907964432e-07
latent_context,random_007,mech_pair_test,96,0.014926382058804477,0.10931069359892685,0.018806632577211616,-0.002589113906055493,0.42508808887300326,0.16666666666666666,-0.08423650782681097,7.24980673272313e-08,0.0,96,0.1,96,1.0,7.24980673272313e-08,3.962061057016797e-08,2.398509075796085e-07
latent_context,random_007,mech_task_holdout,96,-0.08301723137096251,-0.10227206857804078,-0.024217443186601444,-0.013306628731553385,0.3052391251926598,0.11458333333333333,-0.6699771721193496,1.5257795438206045e-07,0.0,96,0.1,76,0.7916666666666666,1.4160746142355407e-07,3.63047732709898e-08,3.266409485114252e-07
latent_context,random_008,mech_pair_test,96,-0.009589289996648098,0.0972818088355021,0.01577127121733705,0.011311064803140496,0.43034519618826234,0.16666666666666666,0.006381901579216427,7.24980673272313e-08,0.0,96,0.1,96,1.0,7.24980673272313e-08,4.028750444362572e-08,2.3892511380463333e-07
latent_context,random_008,mech_task_holdout,96,-0.03396710151686455,0.055403833929870916,0.013986165115281963,0.0009170387621611932,0.29824685812337565,0.16666666666666666,-0.5962126595446439,2.082979709827626e-07,0.0,96,0.1,76,0.7916666666666666,1.579658565065145e-07,4.42404943790109e-08,5.350044200991277e-07
latent_context,random_009,mech_pair_test,96,0.006366967583317784,0.19405826772332135,0.0362864959678599,0.02198074165289993,0.426930913299663,0.22916666666666666,-0.0035886158369534044,7.24980673272313e-08,0.0,96,0.1,96,1.0,7.24980673272313e-08,3.962061057016797e-08,3.6647127454880746e-07
latent_context,random_009,mech_task_holdout,96,-0.0260343547952131,0.08552890862567637,0.02224180131585772,0.004062507375417709,0.2971005585026807,0.19791666666666666,-2.1184518473800846,2.2336399796429873e-07,0.0,96,0.1,76,0.7916666666666666,1.7360385884401808e-07,4.505028350365592e-08,5.906582127013227e-07
latent_context,random_010,mech_pair_test,96,-0.008775247896311456,0.0755624434105903,0.012796740694536212,0.005688465486762898,0.43017166534963613,0.16666666666666666,-0.029525033605636585,7.445417748996874e-08,0.0,96,0.1,96,1.0,7.445417748996874e-08,2.2967000162799067e-08,2.677823183194761e-07
latent_context,random_010,mech_task_holdout,96,-0.05249117044421414,0.007608181865371153,0.002001137963672457,-0.006379206927185274,0.30090662354015263,0.17708333333333334,-0.6549930134144885,2.3066236831681408e-07,0.0,96,0.1,76,0.7916666666666666,1.5527190544428748e-07,3.498787368161338e-08,5.350044200991277e-07
latent_context,random_011,mech_pair_test,96,0.016669427340793463,0.17312316003480147,0.029234313778220635,0.01058191018240826,0.42471183483810937,0.16666666666666666,0.024318388150755002,7.797912177087696e-08,0.0,96,0.1,96,1.0,7.797912177087696e-08,4.050980240144497e-08,2.5878914911015016e-07
latent_context,random_011,mech_task_holdout,96,-0.07144261944407848,-0.09715561673773336,-0.019823933207806357,-0.005206056989278951,0.3036036411078435,0.09375,-0.390271141675628,2.082979709827626e-07,0.0,96,0.1,76,0.7916666666666666,1.5527190544428748e-07,3.66339710788921e-08,3.244014302739018e-07
latent_context,random_012,mech_pair_test,96,-0.023199640487077344,-0.04402118784553539,-0.006479168572271305,-0.006110693930182787,0.43323624346373624,0.09375,-0.08742292819011083,6.881717640183638e-08,0.0,96,0.1,96,1.0,6.881717640183638e-08,3.558730518604669e-08,2.3892511380463333e-07
latent_context,random_012,mech_task_holdout,96,-0.15373378284678263,-0.22336938359135344,-0.05526580203516472,-0.01013406062270696,0.3150469806000331,0.10416666666666667,-0.9060298293675858,1.579658565065145e-07,0.0,96,0.1,76,0.7916666666666666,1.350310374070851e-07,3.399995518460486e-08,3.236549241947273e-07
latent_context,random_013,mech_pair_test,96,-0.06362659483682065,-0.06157082951607912,-0.01085614920883663,0.008904719389743377,0.4417119878478364,0.13541666666666666,-0.10474686193479044,6.513628547644146e-08,0.0,96,0.1,96,1.0,6.513628547644146e-08,1.8676295843178536e-08,2.3499180246133733e-07
latent_context,random_013,mech_task_holdout,96,-0.08796810741117644,-0.05426804943136664,-0.014678955986615018,-0.0074728800379217225,0.3059360106613141,0.13541666666666666,-3.523861914718124,1.579658565065145e-07,0.0,96,0.1,76,0.7916666666666666,1.5257795438206045e-07,3.66339710788921e-08,3.980115907964432e-07
latent_context,random_014,mech_pair_test,96,-0.042026273251734914,0.06965181530471432,0.013041340812904565,0.02264961453490799,0.43720379862993564,0.20833333333333334,-0.018536264356746334,7.24980673272313e-08,0.0,96,0.1,96,1.0,7.24980673272313e-08,2.082924152602139e-08,3.1003825906594784e-07
latent_context,random_014,mech_task_holdout,96,-0.02578178651822971,0.04131511916678857,0.010035107572492263,-0.007154522452146124,0.29706398916452326,0.15625,-2.606252563417852,1.7360385884401808e-07,0.0,96,0.1,76,0.7916666666666666,1.5527190544428748e-07,4.181112700507583e-08,3.980115907964432e-07
latent_context,random_015,mech_pair_test,96,0.00601139899115799,0.13042220481745115,0.021673629635064202,0.008226842445303325,0.4270072944387189,0.15625,-0.03270998604312474,7.797912177087696e-08,0.0,96,0.1,96,1.0,7.797912177087696e-08,3.962061057016797e-08,2.3892511380463333e-07
latent_context,random_015,mech_task_holdout,96,-0.05703744631202867,-0.04966167063719131,-0.010153296693830615,-0.0019678102538451007,0.3015558120818185,0.0625,-1.1371355276776307,1.579658565065145e-07,0.0,96,0.1,76,0.7916666666666666,1.5257795438206045e-07,4.168229195133932e-08,3.236549241947273e-07
latent_context,random_016,mech_pair_test,96,-0.0014382740881957456,0.0970509296146507,0.0172818113648461,0.005011022645775029,0.4286044589692422,0.17708333333333334,-0.05599757043290826,7.954795588904773e-08,0.0,96,0.1,96,1.0,7.954795588904773e-08,4.028750444362572e-08,2.4891679625826946e-07
latent_context,random_016,mech_task_holdout,96,-0.0804267326445276,-0.05754193098191979,-0.014692809535549876,-0.007473788381364123,0.304873851702237,0.13541666666666666,-0.4040065941279265,1.7360385884401808e-07,0.0,96,0.1,76,0.7916666666666666,1.4709270790280726e-07,3.399995518460486e-08,3.980115907964432e-07
latent_context,random_017,mech_pair_test,96,-0.010218812830682156,0.17813751145863693,0.03105209665422802,0.027762158041813145,0.4304793447534209,0.21875,0.053182141545327265,1.0266451000440213e-07,0.0,96,0.1,96,1.0,1.0266451000440213e-07,4.028750444362572e-08,3.2414651293666275e-07
latent_context,random_017,mech_task_holdout,96,-0.07916978427651311,0.0023434024284488095,0.0005930119115584834,0.011757632345863937,0.3046964578083742,0.14583333333333334,-1.6322503786955502,2.005303143537418e-07,0.0,96,0.1,76,0.7916666666666666,1.579658565065145e-07,4.168229195133932e-08,3.980115907964432e-07
latent_context,random_018,mech_pair_test,96,-0.010378124097837782,0.068980693466282,0.012283358202069177,0.004314882835708895,0.4305132866605942,0.17708333333333334,-0.04836551552378379,7.24980673272313e-08,0.0,96,0.1,96,1.0,7.24980673272313e-08,2.348738903368286e-08,2.6103744141248164e-07
latent_context,random_018,mech_task_holdout,96,-0.05569384477219841,-0.06388481487529879,-0.013771139458272016,-0.011319606720517761,0.3013640971666784,0.11458333333333333,-0.44046901162152574,2.1606562761178338e-07,0.0,96,0.1,76,0.7916666666666666,1.579658565065145e-07,3.66339710788921e-08,3.980115907964432e-07
latent_context,random_019,mech_pair_test,96,-0.051921365828667465,-0.02808595017450551,-0.00469433444029021,0.011064965123113198,0.4392747397882253,0.11458333333333333,-0.06254349812660027,7.24980673272313e-08,0.0,96,0.1,96,1.0,7.24980673272313e-08,2.2967000162799067e-08,2.3499180246133733e-07
latent_context,random_019,mech_task_holdout,96,-0.08123957304540275,-0.05039196552672696,-0.0130802948892123,-0.006065976392387468,0.30498851342999095,0.14583333333333334,-2.012676563837546,1.6938470392968696e-07,0.0,96,0.1,76,0.7916666666666666,1.5527190544428748e-07,3.66339710788921e-08,3.980115907964432e-07
outcome_history,frozen,mech_pair_test,128,0.03736968926599993,0.9150559849498219,1.4953086776243005,0.2548688173666826,0.33013402737146286,0.9921875,-1.6248531400038646,0.5720630820693676,1.599707748723521,128,0.1,128,1.0,0.5720630820693676,-2.8130035306032433,0.8920258761822267
outcome_history,frozen,mech_task_holdout,96,-0.032798541747530274,0.856300729560489,1.172608922278171,0.1662013141757403,0.2133930077085911,0.78125,-10.480378327868362,2.2830254037264908e-07,1.2067156755023067,96,0.1,64,0.6666666666666666,0.5938800164171285,-0.5520972766285425,0.9257292364104228
outcome_history,random_000,mech_pair_test,128,-0.04791622238472604,0.0059895193495587895,0.0013954389762302563,0.0011296544208246478,0.34444810957300503,0.1796875,-0.10684110127840167,1.0236258474183302e-07,0.0,128,0.1,128,1.0,1.0236258474183302e-07,5.791656898512798e-08,3.641225047035235e-07
outcome_history,random_000,mech_task_holdout,96,-0.22555574559082459,-0.11463929588486413,-0.046611838616125105,-0.006786228908334329,0.23245501057378773,0.19791666666666666,-2.1975764016748283,3.5070465298492337e-07,0.0,96,0.1,64,0.6666666666666666,2.2830254037264908e-07,-0.8681947201294439,4.994517993350822e-07
outcome_history,random_001,mech_pair_test,128,-0.05958084334265745,-0.041905336484565715,-0.009205548073790733,-0.001009929535340508,0.34635987379928657,0.125,-0.1328772308017056,1.0236258474183302e-07,0.0,128,0.1,128,1.0,1.0236258474183302e-07,5.151657145319177e-08,3.428634259283747e-07
outcome_history,random_001,mech_task_holdout,96,-0.05957326378969374,0.026352420100321756,0.007850333049762287,-0.0021191226461355003,0.21614135625961586,0.125,-1.045364823627324,3.5468602943566907e-07,0.0,96,0.1,64,0.6666666666666666,1.0590042776037478e-07,8.611606761022017e-08,3.931587510552781e-07
outcome_history,random_002,mech_pair_test,128,0.005580158751412823,0.0954727305545029,0.02164821332132846,-0.004460938222900092,0.33554086076819206,0.1953125,-0.06698964307416792,1.0945097950187943e-07,0.0,128,0.1,128,1.0,1.0945097950187943e-07,5.791656898512798e-08,4.1643407711067226e-07
outcome_history,random_002,mech_task_holdout,96,-0.1569082316835544,-0.0680872702887026,-0.025177129103896637,-0.006763938152718179,0.22585090350571496,0.16666666666666666,-1.7473064099602371,3.5070465298492337e-07,0.0,96,0.1,64,0.6666666666666666,1.0590042776037478e-07,8.563810310890929e-08,4.96632786561868e-07
