architecture,bootstrap,variant_a,variant_b,delta_macro_r2,split_digest,paired_semantic_bootstrap
dual_history,35,M2,M4,0.0012287321249287997,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,35,M3,M4,-0.0012563681630778367,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,36,M2,M3,0.002814344093485577,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,36,M2,M4,0.0005739068862286034,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,36,M3,M4,-0.0022404372072569734,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,37,M2,M3,0.000971041782950044,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,37,M2,M4,-0.00017076650692449125,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,37,M3,M4,-0.0011418082898745352,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,38,M2,M3,0.002474033042552448,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,38,M2,M4,-0.00010673295136676142,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,38,M3,M4,-0.0025807659939192096,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,39,M2,M3,0.002427959297720106,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,39,M2,M4,0.0009470579109659427,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,39,M3,M4,-0.0014809013867541632,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,40,M2,M3,0.0019026282771136271,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,40,M2,M4,0.000705994148051281,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,40,M3,M4,-0.0011966341290623461,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,41,M2,M3,0.0031552590652288437,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,41,M2,M4,0.00204465794914388,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,41,M3,M4,-0.0011106011160849638,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,42,M2,M3,0.002195401758341986,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,42,M2,M4,3.7356426225376715e-05,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,42,M3,M4,-0.0021580453321166093,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,43,M2,M3,0.0016729255683611832,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,43,M2,M4,-0.0007449688605487559,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,43,M3,M4,-0.002417894428909939,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,44,M2,M3,0.002195883297785195,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,44,M2,M4,0.0001150295246119537,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,44,M3,M4,-0.0020808537731732413,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
